local authority: district / unitary (as of April 2023),mnemonic,Total_population,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered
Telford and Wrekin,E06000020,185523,1176.89,1367.61,9.25,20.95,1.21,78.13,44.17,14.45,161.87
Tendring,E07000076,148287,992.69,1131.9,6.51,5.42,3.47,10.02,0.98,10.78,135.68
Test Valley,E07000093,130488,821.57,1020.54,9.59,15.72,1.77,18.28,9,9.25,115.93
Tewkesbury,E07000083,94888,600.28,748.99,5.28,10.6,1.08,8.07,1.75,6.18,87.78
Thanet,E07000114,140585,961.38,1017.15,9.26,12.44,4.15,32.98,1.6,13.42,125.72
Three Rivers,E07000102,93774,448.08,691.82,7.53,120.7,22.67,53.57,13.08,13.48,81.83
Thurrock,E06000034,175997,945.71,1408.9,10.89,36.81,3.49,133.02,31.45,13.96,142.47
Tonbridge and Malling,E07000115,132196,875.58,997.82,6.99,18.08,2.53,21.4,3.72,7.87,114.16
Torbay,E06000027,139324,932.31,1047.83,8.57,3.45,2.18,12.21,0.93,15.12,135.89
Torfaen,W06000020,92274,726.17,593.78,4.03,3.92,0.22,5.62,0.96,7.59,87.24
Torridge,E07000046,68122,457.68,514.11,3.28,0.53,0.7,1.67,0.29,6.69,70.32
Tower Hamlets,E09000030,310303,1280.23,1072.44,45.87,97.57,20.78,1919.72,14.97,25.59,330.27
Trafford,E08000009,235063,1206.31,1761.69,14.8,72.13,37.31,318.36,30.74,14.25,186.02
Tunbridge Wells,E07000116,115311,720.1,887.07,7.5,17.27,3.47,29.5,1.25,8.64,111.66
Uttlesford,E07000077,91340,587.42,710.34,5.72,6.49,5.44,10.36,1.55,5.87,81.92
Vale of Glamorgan,W06000014,131935,978.57,902.24,6.51,6.82,2.22,18.67,2.28,9.93,116.91
Vale of White Horse,E07000180,138910,896.93,1044.87,11.7,18.48,4.15,30.71,3.87,10.63,130.79
Wakefield,E08000036,353375,2261.14,2681.3,12.35,19.68,1.97,174.74,7.76,21.77,293.93
Walsall,E08000030,284130,1329.56,1966.33,8.26,78.95,1.15,497.42,265.67,25.69,228.79
Waltham Forest,E09000031,278429,1204.38,1682.96,28.41,79.86,19.64,931.99,19.91,43.53,302.85
Wandsworth,E09000032,327506,1836.54,2163.63,35.25,99.45,27.2,503.8,14.98,28.99,364.08
Warrington,E06000007,210969,1131.61,1853.69,9.37,23.16,2.94,57.11,7.41,12.3,170.95
Warwick,E07000222,148452,919.28,1025.98,9.2,57.99,4.31,34.75,97.59,11.99,138.83
Watford,E07000103,102244,392.58,704.09,15.82,130.11,14.63,205.46,10.29,13.31,97.77
Waverley,E07000216,128231,774.43,1031.88,8.74,7.02,4.11,23.32,1.81,9.34,125.95
Wealden,E07000065,160146,1043.98,1227.62,8.21,5.9,4.83,12.46,0.81,20.11,157.23
Welwyn Hatfield,E07000241,119839,686.43,875.89,13.79,58.98,16.93,60.78,6.97,12.69,124.11
West Berkshire,E06000037,161447,1027,1227.28,8.55,32.27,3.66,32.64,5.69,10.92,153.24
West Devon,E07000047,57093,368.01,444.84,3.24,0.5,0.98,2.2,0.14,7.08,57.59
West Lancashire,E07000127,117427,573.5,1119.63,4.06,3.73,1.08,7.85,1.46,5.53,102.39
West Lindsey,E07000142,95152,559.45,806.56,3.42,4.49,0.7,5.93,2.01,7.45,84.12
West Northamptonshire,E06000062,425726,2521.43,3262.01,23.47,84.14,6.66,227.65,27.75,37.28,405.19
West Oxfordshire,E07000181,114233,718.75,910.98,6.71,4.31,2.9,11.73,0.96,9.36,104.13
West Suffolk,E07000245,179951,1186.69,1350.55,12.55,10.36,3.07,28.91,1.7,14.98,179
Westminster,E09000033,204240,820.12,1181.23,40.33,69.05,87.19,633.23,8.88,26.97,297.13
Westmorland and Furness,E06000064,226587,1312.19,1938.18,13.32,3.53,2.17,12.38,0.67,14.78,213.26
Wigan,E08000010,329329,1545.91,3204.95,12.87,15.42,1.3,64.37,1.89,17.03,238.43
Wiltshire,E06000054,510336,3262.75,3968.58,39.06,41.37,7.1,54.35,7.48,49.95,475.76
Winchester,E07000094,127448,832.76,959.73,12.22,14.69,3.39,14.01,2.91,10.43,124.3
Windsor and Maidenhead,E06000040,153495,738.08,1185.4,13.48,72.91,8.07,133.34,69.98,10.75,146.03
Wirral,E08000015,320199,1850.54,2729.16,15.72,21.78,3.97,50.46,4.82,19.49,264.8
Woking,E07000217,103940,535.64,766.34,9.95,38.55,3.45,150.74,4.42,7.78,93.48
Wokingham,E06000041,177499,1013.65,1229.94,13.65,131.13,6.74,133.19,46.35,12.01,163.35
Wolverhampton,E08000031,263730,1135.87,1791.56,14.18,153.1,1.46,224.47,492.18,48.93,224.1
Worcester,E07000237,103866,636.5,786.33,5.69,6.71,0.79,65.49,2.6,6.99,98.15
Worthing,E07000229,111338,788.5,757.54,10.91,11.45,4.24,29.62,1.92,12.05,108.65
Wrexham,W06000006,135115,874.97,1036.14,6.26,5.16,0.79,23.86,1.21,7.95,136.97
Wychavon,E07000238,132495,718.25,1184.98,5.17,3.14,1.74,11.22,5.25,8.57,114.3
Wyre,E07000128,111949,584.38,1037.59,4.55,2.84,1.32,7,0.4,7.39,88.8
Wyre Forest,E07000239,101609,608.18,839.39,3.63,1.95,0.65,16.36,3.97,7.31,92.72
York,E06000014,202821,1449.75,1379.13,16.19,16.16,4.23,38.55,2.77,19.61,215.81
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"In order to protect against disclosure of personal information, records",,,,,,,,,,
,have been swapped between different geographic areas and counts perturbed,,,,,,,,,,
,by small amounts. Small counts at the lowest geographies will be most,,,,,,,,,,
,affected.,,,,,,,,,,
