local authority: district / unitary (as of April 2023),mnemonic,Total_population,No religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,Not answered
Chorley,E07000118,117731,563.67,1122.25,4.43,5.19,0.91,25.53,0.91,8.27,92.8
City of London,E09000001,8579,58.3,46.11,1.47,3.14,2.74,8.37,0.09,0.85,11.88
Colchester,E07000071,192716,1324.37,1326.24,20.47,39.44,5.04,62.3,3.61,17.72,186.48
Conwy,W06000003,114741,727.31,902.95,5.81,3.94,0.98,13.04,0.51,9.62,113.47
Cornwall,E06000052,570304,4090.62,4014.83,32.21,8.47,7.85,20.65,2.01,68.06,590.79
Cotswold,E07000079,90834,516.06,783.88,5.16,3.67,2.46,3.66,1.01,6.54,84.84
County Durham,E06000047,522062,3124.67,4417.97,19.99,15.34,4.43,45.27,13,34.05,413.45
Coventry,E08000026,345328,1585.48,2348.32,19.47,212.62,4.01,554.63,267.98,29.56,327.92
Crawley,E07000226,118495,643.79,782.33,8.2,94.35,1.49,178.49,13.18,9.82,104.11
Croydon,E09000008,390718,1566.59,2957.22,36.73,358.58,9.43,630.81,25.62,49.41,418.84
Cumberland,E06000063,273244,1461.09,2477,10.91,7.36,1.5,21.44,1.01,14.72,238.34
Dacorum,E07000096,155082,986.58,1114.77,11.25,39.46,13.88,75.43,4.82,11.57,144.86
Darlington,E06000005,107807,662.77,870.59,5.33,7.02,0.56,28.65,6.86,6.26,82.05
Dartford,E07000107,116756,659.69,870.25,10.71,68.68,1.41,63.52,31.2,7.2,96.13
Denbighshire,W06000004,95816,624.3,731.65,4.96,3.24,0.74,11.46,0.59,7.48,100.02
Derby,E06000015,261354,1481.7,1626.24,12.83,47.48,2.32,451.41,151.24,20.09,255.89
Derbyshire Dales,E07000035,71536,413.47,615.49,3.21,1.04,0.84,4.01,0.79,5.08,64.39
Doncaster,E08000017,308108,1900.09,2428.42,12.72,20.05,1.8,106.87,21.55,26.71,255.16
Dorset,E06000059,379578,2359.01,3031.53,24.99,11.06,7.02,24.2,1.81,36.58,384.46
Dover,E07000108,116407,763.82,894.98,9.16,11.2,1.75,11.37,1.13,10.05,100.04
Dudley,E08000027,323495,1803.4,2470.46,12.36,33.98,1.29,309.51,82.36,22.67,275.64
Ealing,E09000009,367122,1088.09,2152.49,62.02,437.45,16.13,1067.55,441.4,42.34,380.08
East Cambridgeshire,E07000009,87762,583.79,659.57,5.04,5.05,1.91,8.55,1.94,7.7,86.14
East Devon,E07000040,150821,978.76,1171.56,7.73,2.53,2.39,7.98,0.51,12.55,152.71
East Hampshire,E07000085,125741,797.68,994.53,6.24,5.59,3.3,11.6,1.29,9.19,118.67
East Hertfordshire,E07000242,150160,973.18,1142.3,8.46,14.27,8.68,27.2,3.47,10.1,138.67
East Lindsey,E07000137,142292,855.14,1187.68,5.02,3.02,1.3,7.08,1.38,10.69,133.27
East Riding of Yorkshire,E06000011,342217,2074.71,2825.79,13.71,11.74,4.4,30.46,3.52,18.96,318.53
East Staffordshire,E07000193,124019,651,969.22,5.14,5.59,0.59,166.98,6.24,8.4,108.23
East Suffolk,E07000244,246055,1710.97,1796.26,12.61,10.72,4.12,20.03,2.34,21.46,233.57
Eastbourne,E07000061,101685,680.42,723.1,8.8,7.95,2.9,35.09,0.65,11.62,104.85
Eastleigh,E07000086,136446,950.92,966.23,7.96,20.91,1.77,21.78,15.85,9.76,118.67
Elmbridge,E07000207,138757,761.01,1117.53,11.62,34.36,11.62,54.7,11.5,9.43,137.87
Enfield,E09000010,329986,1010.75,2370.6,26.59,158.5,57.52,952.44,18.58,160.36,356.96
Epping Forest,E07000072,134981,696.79,1033.87,7.93,44.12,67.8,72.8,28.61,13.45,125.8
Epsom and Ewell,E07000208,80939,447.78,603.54,8.51,44.79,3.19,60.82,3.47,5.17,76.66
Erewash,E07000036,112902,873.01,744.95,4.04,8.03,0.62,7.75,5.44,9.3,96.07
Exeter,E07000041,130712,982,809.04,11.08,10.81,3.11,43.61,2.77,13.45,149.15
Fareham,E07000087,114503,774.43,871.43,5.28,6.21,1.02,11.06,1.36,7.61,95.68
Fenland,E07000010,102457,633.6,826.59,3.7,3.3,1.7,10.57,1.72,7.95,98.22
Flintshire,W06000005,154965,975.96,1237.07,6.15,4.96,0.93,11.45,0.36,7.37,156.51
Folkestone and Hythe,E07000112,109754,710.95,815.73,16.64,25.18,2.26,17.15,0.71,15.07,96.7
Forest of Dean,E07000080,87006,561.42,681.19,3.41,1.6,0.91,3.67,1.05,8.06,86.65
Fylde,E07000119,81380,393.34,776.77,4.26,3.63,4.46,8.92,0.99,5.07,63.24
Gateshead,E08000037,196144,1217.28,1542.63,7.27,8.09,45.01,63.92,5.98,12.35,136.4
Gedling,E07000173,117258,865.73,769.95,5.64,11.99,1.52,38.39,14.75,8.52,100.25
Gloucester,E07000081,132409,813.47,978.28,6.21,19.88,0.99,96.05,3.95,10.1,122.52
Gosport,E07000088,81955,614.47,566.38,4.21,3.5,0.57,7.03,0.45,8.06,64.98
Gravesham,E07000109,106899,532.22,814.37,5.38,23.1,1.18,51.53,132.62,10.29,85.47
Great Yarmouth,E07000145,99743,698.47,721.4,4.14,5.44,0.98,11.2,0.57,8.32,94.81
Greenwich,E09000011,289067,1459.53,2000.28,77.99,180.44,9.34,382.9,50.03,27.92,289.96
Guildford,E07000209,143646,882.6,1072.6,15.35,30.55,5.92,48.1,4.9,10.49,154.99
Gwynedd,W06000002,117397,804.7,840.46,6.6,3.95,0.91,17.62,0.71,11.93,131.87
Hackney,E09000012,259148,1458.05,1231.65,36.3,30.95,269.97,535.7,28.92,75.59,347.68
Halton,E06000006,128475,701.21,1166.11,4.51,5.07,0.71,12.47,1.24,7.02,92.12
Hammersmith and Fulham,E09000013,183161,868.5,1296.31,26.69,34.22,19.02,329.84,6.97,19.01,237.01
Harborough,E07000131,97631,580.66,759.85,3.97,38.38,1.83,17.35,22.73,5.87,81.82
Haringey,E09000014,264234,1294.17,1610.36,38.03,54.67,145.58,515.83,13.82,95.5,325.76
Harlow,E07000073,93334,627.54,646.51,5.73,13.8,4.94,57.9,1.32,9.42,78.72
Harrow,E09000015,261203,429.89,1372.67,43.57,1044.08,113.16,642.99,42.5,119.22,238.65
Hart,E07000089,99409,633.62,766.28,9.76,18.39,1.81,12.5,5.04,6.26,86.43
Hartlepool,E06000001,92334,573.15,751.31,2.79,3.44,0.42,18.79,2.57,4.42,73.67
Hastings,E07000062,91006,724.28,533.33,8.8,7.25,2.66,27.38,0.57,12.58,92.89
Havant,E07000090,124207,912.03,872.5,5.53,5.25,1.5,10.18,1.52,9.61,106.19
Havering,E09000016,262057,1243.05,2118.84,16.92,99.99,20.22,249.97,69.69,16.36,224.83
"Herefordshire, County of",E06000019,187039,1060.85,1589.76,10.01,5.95,2.2,12.24,1.81,14.01,200.81
Hertsmere,E07000098,107822,404.23,697.51,9.65,82.68,284.23,62.93,3.8,17.31,108.17
High Peak,E07000037,90930,625.61,683.61,5.14,1.33,0.85,3.7,0.28,7.58,80.72
Hillingdon,E09000017,305916,917.38,1850.34,40.61,511.57,21.57,682.87,408.06,41.57,265.37
Hinckley and Bosworth,E07000132,113640,733.85,877.45,4.11,19.38,0.6,12.33,11.46,8.61,92.75
Horsham,E07000227,146776,956.87,1120.5,9,12.61,4.21,19.68,1.63,10.19,139.28
Hounslow,E09000018,288181,828.88,1708.35,60.92,423.88,9.64,744.08,382.31,35.99,270.64
Huntingdonshire,E07000011,180832,1225.87,1325.67,10.38,15.06,3.44,40.02,5.04,13.94,162.15
Hyndburn,E07000120,82236,361.91,649.9,2.35,1.3,0.43,186.67,0.46,5.3,65.72
Ipswich,E07000202,139644,980,912.48,9.23,20.79,1.56,84.17,7.06,12.98,135.13
Isle of Anglesey,W06000001,68875,434.81,549.75,2.39,0.96,0.46,5.08,0.46,4.31,68.88
Isle of Wight,E06000046,140460,956.22,1038.08,7.73,3.98,2.11,9.19,0.6,17.21,140.97
Isles of Scilly,E06000053,2058,14.72,14.98,0.05,0.02,0.02,0,0,0.11,1.94
Islington,E09000019,216587,1370.57,1163.94,28.09,34.01,42.05,400.33,9.34,45.39,261.86
Kensington and Chelsea,E09000020,143376,551.69,1074.18,24.88,24.54,41.54,261.28,4.94,16.48,221.71
King's Lynn and West Norfolk,E07000146,154318,943.47,1252.87,7.37,6.63,2.43,12.46,1.84,12.32,151.55
"Kingston upon Hull, City of",E06000010,267010,2036.1,1648.58,11.56,10.01,2.26,143.85,4.29,17.41,262.71
Kingston upon Thames,E09000021,168064,893.01,1110.35,26.74,131.01,10.74,207.07,22.12,17.34,185.38
Kirklees,E08000034,433222,2333.17,2642.68,15.43,26.69,2.9,1240.12,53.85,25.76,371.03
Knowsley,E08000011,154523,650.7,1594.64,4.03,7.06,1.33,15,1.01,4.42,115.71
Lambeth,E09000022,317662,1845.52,2149.04,37.76,49.25,20.82,400.81,8.16,36.42,373.53
Lancaster,E07000121,142932,843.31,1148.12,9.36,9.36,2.23,41.26,2.28,12.53,145.97
Leeds,E08000035,811950,5054.16,5318.78,44.53,142.8,97.09,976.87,155.65,56.35,733.03
Leicester,E06000016,368569,1310.78,1412.32,18.3,1019.74,5.05,1339.23,254.87,32.15,317.74
Lewes,E07000063,99912,745.75,660.34,8.68,4.91,4.73,13.03,0.98,11.7,97.63
Lewisham,E09000023,300554,1710.06,2040.47,50.66,100.07,12.8,344.93,11.15,35.15,351.06
Lichfield,E07000194,106439,628.43,893.66,3.8,7.13,0.95,11.19,14.3,6.86,82.67
Lincoln,E07000138,103813,758.21,680.09,5.5,7.06,1.08,29.37,1.6,12.29,113.13
