local authority: district / unitary (as of April 2023),mnemonic,Total_population,No qualifications,Level 1 and entry level qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications or above,Other qualifications,,,,,,,,
Chorley,E07000118,117731,238.93,139.54,208.65,100.16,267.46,505.28,32.98,,,,,,,,
City of London,E09000001,8579,8.20,3.45,6.07,1.24,10.97,92.01,2.09,,,,,,,,
Colchester,E07000071,192716,372.49,249.79,359.37,126.09,471.28,780.84,62.28,,,,,,,,
Conwy,W06000003,114741,278.84,128.85,215.19,94.68,247.08,483.86,44.43,,,,,,,,
Cornwall,E06000052,570304,1207.17,738.62,1121.15,487.32,1393.64,2260.21,188.44,,,,,,,,
Cotswold,E07000079,90834,161.73,104.85,164.84,56.84,194.82,470.51,28.72,,,,,,,,
County Durham,E06000047,522062,1406.79,640.76,956.26,419.24,1338.78,1797.43,163.87,,,,,,,,
Coventry,E08000026,345328,831.50,426.70,541.00,221.30,813.75,1312.08,143.15,,,,,,,,
Crawley,E07000226,118495,258.45,192.46,236.35,75.84,237.94,399.29,49.27,,,,,,,,
Croydon,E09000008,390718,772.72,439.52,592.45,182.60,705.45,1972.86,143.24,,,,,,,,
Cumberland,E06000063,273244,722.65,360.02,499.85,263.34,622.17,974.02,88.15,,,,,,,,
Dacorum,E07000096,155082,281.45,193.64,272.59,91.84,307.43,724.20,46.51,,,,,,,,
Darlington,E06000005,107807,262.94,128.22,197.27,96.29,250.07,395.32,34.90,,,,,,,,
Dartford,E07000107,116756,228.00,155.05,214.57,78.32,235.29,454.89,39.06,,,,,,,,
Denbighshire,W06000004,95816,242.74,111.16,185.76,76.94,199.90,371.98,34.02,,,,,,,,
Derby,E06000015,261354,652.87,334.42,429.24,202.40,561.30,962.04,98.61,,,,,,,,
Derbyshire Dales,E07000035,71536,148.47,82.13,125.82,49.16,148.54,370.88,20.96,,,,,,,,
Doncaster,E08000017,308108,957.52,444.96,587.28,259.73,644.40,882.01,111.62,,,,,,,,
Dorset,E06000059,379578,787.55,519.76,747.78,339.95,881.28,1569.37,141.40,,,,,,,,
Dover,E07000108,116407,289.80,166.41,230.92,88.03,266.75,402.05,45.35,,,,,,,,
Dudley,E08000027,323495,938.37,441.15,611.65,243.28,698.16,1016.14,117.87,,,,,,,,
Ealing,E09000009,367122,819.95,369.05,425.44,155.11,587.48,2029.23,189.80,,,,,,,,
East Cambridgeshire,E07000009,87762,183.18,108.34,149.29,67.93,181.82,387.42,28.63,,,,,,,,
East Devon,E07000040,150821,297.57,196.03,294.50,127.04,336.53,667.95,53.98,,,,,,,,
East Hampshire,E07000085,125741,210.78,140.61,233.19,77.40,286.21,622.91,37.49,,,,,,,,
East Hertfordshire,E07000242,150160,259.59,176.72,269.57,88.17,315.92,723.88,43.10,,,,,,,,
East Lindsey,E07000137,142292,474.57,215.81,285.06,132.34,310.91,404.87,57.52,,,,,,,,
East Riding of Yorkshire,E06000011,342217,813.00,448.20,628.46,319.47,768.46,1361.04,125.40,,,,,,,,
East Staffordshire,E07000193,124019,313.43,166.68,226.10,93.28,264.60,446.59,46.45,,,,,,,,
East Suffolk,E07000244,246055,621.33,360.90,480.87,220.94,542.13,882.58,93.85,,,,,,,,
Eastbourne,E07000061,101685,241.17,145.30,192.00,74.49,223.65,390.57,43.08,,,,,,,,
Eastleigh,E07000086,136446,234.79,173.66,254.03,112.34,325.45,566.10,42.99,,,,,,,,
Elmbridge,E07000207,138757,182.08,109.19,192.76,54.46,229.46,878.07,39.17,,,,,,,,
Enfield,E09000010,329986,895.67,374.16,449.36,155.78,534.12,1446.56,128.76,,,,,,,,
Epping Forest,E07000072,134981,321.22,176.43,249.66,85.05,272.28,552.03,46.40,,,,,,,,
Epsom and Ewell,E07000208,80939,127.75,79.11,126.68,40.71,156.63,443.74,26.31,,,,,,,,
Erewash,E07000036,112902,287.08,161.74,217.24,108.18,263.93,374.97,35.88,,,,,,,,
Exeter,E07000041,130712,233.60,140.95,197.22,82.36,432.48,598.20,40.00,,,,,,,,
Fareham,E07000087,114503,205.21,145.26,216.15,97.48,285.42,494.37,37.72,,,,,,,,
Fenland,E07000010,102457,339.12,169.60,206.76,88.80,214.45,250.24,45.30,,,,,,,,
Flintshire,W06000005,154965,362.11,195.95,301.89,130.62,352.39,576.46,57.09,,,,,,,,
Folkestone and Hythe,E07000112,109754,275.09,164.87,210.68,89.72,244.67,388.37,45.04,,,,,,,,
Forest of Dean,E07000080,87006,208.02,118.49,177.00,73.16,199.25,325.70,30.07,,,,,,,,
Fylde,E07000119,81380,172.23,99.25,148.81,67.97,186.76,369.78,28.03,,,,,,,,
Gateshead,E08000037,196144,541.85,248.22,345.17,180.16,425.05,700.98,64.42,,,,,,,,
Gedling,E07000173,117258,263.40,144.65,206.47,92.41,273.61,476.04,37.79,,,,,,,,
Gloucester,E07000081,132409,301.69,191.12,253.02,101.26,309.31,453.86,46.51,,,,,,,,
Gosport,E07000088,81955,181.19,131.75,165.21,69.64,206.39,257.92,29.17,,,,,,,,
Gravesham,E07000109,106899,266.26,156.26,199.02,76.75,216.31,349.70,45.67,,,,,,,,
Great Yarmouth,E07000145,99743,339.69,166.45,200.40,92.51,204.64,233.80,44.05,,,,,,,,
Greenwich,E09000011,289067,593.66,284.27,367.90,122.96,467.16,1625.58,97.85,,,,,,,,
Guildford,E07000209,143646,209.77,133.95,209.58,72.60,364.91,815.22,43.12,,,,,,,,
Gwynedd,W06000002,117397,246.91,114.97,221.57,88.54,284.60,523.76,37.43,,,,,,,,
Hackney,E09000012,259148,542.91,198.03,270.33,76.50,374.47,1699.91,83.06,,,,,,,,
Halton,E06000006,128475,338.75,191.15,269.62,88.59,295.24,385.39,41.69,,,,,,,,
Hammersmith and Fulham,E09000013,183161,284.01,122.27,176.41,54.75,312.41,1379.51,66.20,,,,,,,,
Harborough,E07000131,97631,169.44,112.04,174.26,74.86,215.35,470.77,29.31,,,,,,,,
Haringey,E09000014,264234,618.48,228.24,284.94,105.06,391.34,1615.41,102.93,,,,,,,,
Harlow,E07000073,93334,238.03,151.86,179.99,63.83,187.96,276.76,34.11,,,,,,,,
Harrow,E09000015,261203,564.77,265.70,338.62,103.12,409.35,1461.21,104.79,,,,,,,,
Hart,E07000089,99409,135.44,109.47,175.22,58.87,221.85,514.62,29.00,,,,,,,,
Hartlepool,E06000001,92334,267.80,109.63,169.85,80.64,213.43,287.02,28.72,,,,,,,,
Hastings,E07000062,91006,232.99,129.94,174.38,59.10,197.81,330.88,32.26,,,,,,,,
Havant,E07000090,124207,317.47,180.38,243.51,102.14,283.22,422.36,44.56,,,,,,,,
Havering,E09000016,262057,649.87,363.35,483.80,166.98,528.68,959.32,97.26,,,,,,,,
"Herefordshire, County of",E06000019,187039,438.67,232.11,343.69,143.43,411.68,796.63,68.18,,,,,,,,
Hertsmere,E07000098,107822,213.46,122.72,176.55,59.26,197.39,528.82,37.12,,,,,,,,
High Peak,E07000037,90930,175.17,109.42,161.31,70.93,213.04,417.09,25.21,,,,,,,,
Hillingdon,E09000017,305916,680.22,369.84,441.76,159.54,555.19,1404.62,136.15,,,,,,,,
Hinckley and Bosworth,E07000132,113640,266.58,155.33,210.45,95.99,261.82,428.06,36.79,,,,,,,,
Horsham,E07000227,146776,233.55,176.80,291.28,90.43,338.93,691.20,47.21,,,,,,,,
Hounslow,E09000018,288181,660.45,335.79,362.37,125.34,434.51,1472.97,151.44,,,,,,,,
Huntingdonshire,E07000011,180832,359.34,244.63,334.76,127.38,403.12,768.32,59.40,,,,,,,,
Hyndburn,E07000120,82236,231.63,106.05,144.41,74.02,178.58,255.84,26.28,,,,,,,,
Ipswich,E07000202,139644,375.71,208.17,249.43,108.68,282.60,453.86,54.12,,,,,,,,
Isle of Anglesey,W06000001,68875,159.11,74.80,130.99,58.13,153.84,285.76,22.73,,,,,,,,
Isle of Wight,E06000046,140460,341.83,206.90,271.14,138.29,332.22,507.89,54.43,,,,,,,,
Isles of Scilly,E06000053,2058,3.30,1.84,4.21,1.36,5.28,10.15,0.65,,,,,,,,
Islington,E09000019,216587,391.30,159.16,203.67,65.25,346.06,1610.84,68.57,,,,,,,,
Kensington and Chelsea,E09000020,143376,216.45,84.37,136.38,36.84,239.19,1134.46,59.27,,,,,,,,
King's Lynn and West Norfolk,E07000146,154318,466.88,241.61,302.15,127.44,328.01,465.34,65.44,,,,,,,,
"Kingston upon Hull, City of",E06000010,267010,836.75,374.35,466.99,227.60,579.70,720.58,107.58,,,,,,,,
Kingston upon Thames,E09000021,168064,249.86,135.47,206.35,66.99,306.23,1078.01,55.82,,,,,,,,
Kirklees,E08000034,433222,1112.86,523.28,714.39,335.49,932.45,1603.98,142.22,,,,,,,,
Knowsley,E08000011,154523,505.06,204.55,277.29,105.61,331.71,458.24,43.26,,,,,,,,
Lambeth,E09000022,317662,545.11,251.79,325.73,108.03,494.76,2344.21,97.03,,,,,,,,
Lancaster,E07000121,142932,292.58,159.68,232.36,105.19,419.23,599.01,45.50,,,,,,,,
Leeds,E08000035,811950,1852.87,932.50,1226.89,532.22,1871.23,3537.86,247.82,,,,,,,,
Leicester,E06000016,368569,1203.65,482.63,526.04,170.79,725.98,1206.87,192.59,,,,,,,,
Lewes,E07000063,99912,207.17,131.66,183.43,69.67,213.70,448.94,34.75,,,,,,,,
Lewisham,E09000023,300554,549.17,274.81,362.93,112.49,488.59,1871.72,95.85,,,,,,,,
Lichfield,E07000194,106439,234.09,138.35,193.46,73.48,236.12,461.51,35.57,,,,,,,,
Lincoln,E07000138,103813,234.48,131.08,172.73,75.06,344.76,355.45,35.34,,,,,,,,
Liverpool,E08000012,486093,1395.09,541.54,714.84,273.04,1253.49,1923.40,142.53,,,,,,,,
Luton,E06000032,225259,611.62,304.43,339.95,129.35,384.71,798.58,106.90,,,,,,,,
Maidstone,E07000110,175778,384.00,240.29,336.28,132.42,385.86,658.92,64.26,,,,,,,,
Maldon,E07000074,66208,165.37,104.48,138.19,55.77,151.80,218.14,24.97,,,,,,,,
Malvern Hills,E07000235,79483,151.49,89.56,145.30,57.15,167.03,403.13,26.20,,,,,,,,
Manchester,E08000003,551943,1334.07,542.05,699.71,237.38,1233.54,2552.61,185.76,,,,,,,,
Mansfield,E07000174,110486,339.44,163.32,204.75,91.38,245.60,308.33,44.14,,,,,,,,
Medway,E06000035,279771,668.63,416.72,548.84,211.09,619.84,883.09,102.89,,,,,,,,
Melton,E07000133,51751,108.97,66.51,97.65,44.82,122.52,206.81,18.06,,,,,,,,
Merthyr Tydfil,W06000024,58847,198.79,70.58,107.07,42.03,115.47,184.53,20.12,,,,,,,,
Merton,E09000024,215188,381.26,191.61,255.78,89.11,337.52,1338.75,82.64,,,,,,,,
Mid Devon,E07000042,82848,179.93,107.95,163.42,63.86,189.97,324.23,27.30,,,,,,,,
Mid Suffolk,E07000203,102702,235.25,141.73,198.06,82.81,242.72,401.52,35.00,,,,,,,,
Mid Sussex,E07000228,152570,223.98,178.13,286.78,89.38,344.82,738.83,48.57,,,,,,,,
Middlesbrough,E06000002,143922,422.67,173.84,236.57,109.07,309.48,466.75,46.83,,,,,,,,
Milton Keynes,E06000042,287057,551.18,378.36,495.93,162.32,547.99,1247.85,99.59,,,,,,,,
Mole Valley,E07000210,87386,137.90,96.61,152.71,49.72,173.24,483.59,26.96,,,,,,,,
Monmouthshire,W06000021,92961,190.79,100.13,164.05,61.32,188.58,477.31,29.95,,,,,,,,
Neath Port Talbot,W06000012,142290,429.49,165.26,268.94,117.08,316.56,469.12,49.02,,,,,,,,
New Forest,E07000091,175778,371.06,236.66,340.87,161.06,408.52,718.55,67.70,,,,,,,,
Newark and Sherwood,E07000175,122954,301.30,163.87,231.04,98.53,285.11,458.26,41.63,,,,,,,,
Newcastle upon Tyne,E08000021,300131,716.25,305.65,401.12,185.03,817.51,1333.34,90.23,,,,,,,,
Newcastle-under-Lyme,E07000195,123306,320.53,154.79,217.70,106.64,312.95,448.32,37.65,,,,,,,,
Newham,E09000025,351039,885.42,386.25,435.06,133.53,554.37,1721.69,162.33,,,,,,,,
Newport,W06000022,159594,428.99,181.90,281.78,100.67,309.51,612.64,58.62,,,,,,,,
North Devon,E07000043,98608,226.13,140.97,197.42,86.09,226.25,363.43,33.11,,,,,,,,
North East Derbyshire,E07000038,102000,264.40,141.00,191.55,90.24,237.47,364.18,32.26,,,,,,,,
North East Lincolnshire,E06000012,156966,478.83,240.62,317.80,128.79,323.56,426.62,59.45,,,,,,,,
North Hertfordshire,E07000099,133211,227.00,154.72,222.44,74.88,257.87,693.14,39.13,,,,,,,,
North Kesteven,E07000139,118075,246.13,150.91,225.73,98.28,304.62,453.59,39.24,,,,,,,,
North Lincolnshire,E06000013,169674,472.00,252.41,326.96,153.72,371.11,516.85,67.67,,,,,,,,
North Norfolk,E07000147,102988,284.01,160.15,210.30,97.60,223.50,362.39,43.18,,,,,,,,
North Northamptonshire,E06000061,359525,893.64,533.01,688.30,281.95,747.86,1197.28,138.19,,,,,,,,
North Somerset,E06000024,216727,412.34,266.77,410.27,165.27,501.60,937.13,73.08,,,,,,,,
North Tyneside,E08000022,208952,464.28,248.27,376.47,182.39,448.80,873.39,63.55,,,,,,,,
North Warwickshire,E07000218,65035,185.20,96.32,128.05,50.83,146.90,207.40,20.33,,,,,,,,
North West Leicestershire,E07000134,104706,244.98,132.77,187.97,86.23,250.56,399.99,32.41,,,,,,,,
North Yorkshire,E06000065,615487,1285.73,737.80,1121.31,525.21,1360.71,2772.38,193.81,,,,,,,,
Northumberland,E06000057,320565,746.32,403.60,602.24,288.53,738.84,1280.51,105.07,,,,,,,,
Norwich,E07000148,143926,319.41,172.70,223.91,80.27,389.95,638.33,46.35,,,,,,,,
Nottingham,E06000018,323627,798.70,357.82,462.36,167.86,1026.17,1172.37,109.75,,,,,,,,
Nuneaton and Bedworth,E07000219,134204,380.62,200.04,251.96,104.51,285.68,411.75,47.73,,,,,,,,
Oadby and Wigston,E07000135,57753,135.89,70.97,93.50,41.71,135.27,234.29,19.78,,,,,,,,
Oldham,E08000004,242081,715.88,320.26,403.13,184.97,477.62,713.02,82.78,,,,,,,,
Oxford,E07000178,162039,266.53,129.19,160.95,58.84,435.76,1017.83,49.00,,,,,,,,
Pembrokeshire,W06000009,123366,298.74,144.59,240.65,98.73,270.53,495.62,39.91,,,,,,,,
Pendle,E07000122,95753,288.77,124.03,150.90,75.17,193.98,295.68,36.86,,,,,,,,
Peterborough,E06000031,215676,580.52,320.17,374.78,143.86,398.58,680.99,97.23,,,,,,,,
Plymouth,E06000026,264693,587.08,331.36,476.04,245.34,733.76,931.96,81.52,,,,,,,,
Portsmouth,E06000044,208002,461.15,254.61,347.10,140.87,577.81,793.07,71.85,,,,,,,,
Powys,W06000023,133174,330.24,150.19,259.45,106.40,296.30,555.39,45.50,,,,,,,,
Preston,E07000123,147835,357.55,172.63,236.15,99.32,335.65,583.16,54.02,,,,,,,,
Reading,E06000038,174235,346.43,200.35,233.47,90.68,367.70,885.39,66.04,,,,,,,,
Redbridge,E09000026,310260,649.88,323.45,420.83,117.08,512.40,1591.03,134.80,,,,,,,,
Redcar and Cleveland,E06000003,136536,383.16,170.16,242.66,134.66,329.99,433.84,46.00,,,,,,,,
Redditch,E07000236,87034,226.27,126.54,170.82,63.81,187.58,281.38,31.96,,,,,,,,
Reigate and Banstead,E07000211,150852,244.24,170.37,264.10,81.24,304.15,748.88,48.12,,,,,,,,
Rhondda Cynon Taf,W06000016,237651,726.83,283.25,451.16,154.40,505.63,801.73,80.10,,,,,,,,
Ribble Valley,E07000124,61558,105.38,62.88,104.51,53.79,137.31,316.92,16.48,,,,,,,,
Richmond upon Thames,E09000027,195278,219.42,120.52,217.35,57.99,291.73,1457.68,49.59,,,,,,,,
Rochdale,E08000005,223775,629.76,285.28,380.48,163.66,456.52,716.35,78.33,,,,,,,,
Rochford,E07000075,85667,210.02,140.73,191.46,68.79,202.91,249.35,32.22,,,,,,,,
Rossendale,E07000125,70876,165.34,84.17,126.19,56.56,163.62,272.13,19.69,,,,,,,,
Rother,E07000064,93111,232.50,136.37,181.08,73.25,201.95,367.89,38.47,,,,,,,,
Rotherham,E08000018,265806,782.82,380.27,520.75,223.06,571.35,771.64,89.89,,,,,,,,
Rugby,E07000220,114366,223.88,139.03,200.15,90.99,234.85,498.46,40.90,,,,,,,,
Runnymede,E07000212,88085,163.11,101.37,141.45,52.67,240.27,397.28,30.43,,,,,,,,
