local authority: district / unitary (as of April 2023),mnemonic,Total_population,No qualifications,Level 1 and entry level qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications or above,Other qualifications,,,,,,,,
Tandridge,E07000215,87878,151.63,103.21,166.19,48.00,190.05,410.80,27.41,,,,,,,,
Teignbridge,E07000045,134805,275.12,177.84,260.54,114.95,305.68,575.89,47.78,,,,,,,,
Telford and Wrekin,E06000020,185523,459.60,259.22,359.71,127.23,430.15,601.16,66.26,,,,,,,,
Tendring,E07000076,148287,507.88,250.33,295.54,132.23,301.24,384.39,63.27,,,,,,,,
Test Valley,E07000093,130488,233.12,162.47,237.49,89.93,298.26,590.25,42.34,,,,,,,,
Tewkesbury,E07000083,94888,166.03,117.22,178.16,68.66,208.45,429.83,30.02,,,,,,,,
Thanet,E07000114,140585,387.16,206.55,257.89,110.73,298.91,470.60,56.27,,,,,,,,
Three Rivers,E07000102,93774,155.27,101.31,152.42,51.61,177.84,496.12,27.44,,,,,,,,
Thurrock,E06000034,175997,456.15,257.80,329.23,104.68,343.18,553.44,68.14,,,,,,,,
Tonbridge and Malling,E07000115,132196,252.90,172.94,258.43,90.65,285.96,531.89,42.09,,,,,,,,
Torbay,E06000027,139324,358.45,212.19,280.35,134.60,313.37,459.01,55.15,,,,,,,,
Torfaen,W06000020,92274,257.66,119.25,177.51,66.79,197.31,311.83,33.34,,,,,,,,
Torridge,E07000046,68122,167.69,102.79,140.56,65.19,157.05,233.30,25.16,,,,,,,,
Tower Hamlets,E09000030,310303,635.18,265.78,332.05,84.30,516.57,1972.19,111.75,,,,,,,,
Trafford,E08000009,235063,402.65,237.18,365.75,138.36,435.98,1238.80,65.24,,,,,,,,
Tunbridge Wells,E07000116,115311,192.94,123.88,207.54,60.02,222.86,588.87,35.40,,,,,,,,
Uttlesford,E07000077,91340,156.74,108.14,177.00,57.93,196.57,417.15,25.50,,,,,,,,
Vale of Glamorgan,W06000014,131935,259.35,137.92,239.50,87.86,276.31,620.66,43.19,,,,,,,,
Vale of White Horse,E07000180,138910,218.32,148.54,213.02,86.68,269.06,766.95,39.20,,,,,,,,
Wakefield,E08000036,353375,1088.09,481.60,665.33,289.85,724.96,1081.34,123.55,,,,,,,,
Walsall,E08000030,284130,910.67,396.90,491.70,183.17,542.83,819.60,111.52,,,,,,,,
Waltham Forest,E09000031,278429,627.99,292.41,357.97,119.28,445.72,1485.89,112.91,,,,,,,,
Wandsworth,E09000032,327506,421.43,197.67,292.73,86.42,483.59,2654.59,101.69,,,,,,,,
Warrington,E06000007,210969,440.81,267.06,394.89,159.54,462.14,882.38,69.00,,,,,,,,
Warwick,E07000222,148452,240.88,139.77,205.01,79.90,338.23,862.70,42.99,,,,,,,,
Watford,E07000103,102244,198.94,115.62,154.38,51.06,180.91,515.22,38.19,,,,,,,,
Waverley,E07000216,128231,183.73,116.67,211.38,63.18,245.17,748.17,37.26,,,,,,,,
Wealden,E07000065,160146,309.31,215.89,322.83,119.94,372.71,674.67,55.20,,,,,,,,
Welwyn Hatfield,E07000241,119839,216.51,139.40,194.17,67.42,287.79,563.59,41.40,,,,,,,,
West Berkshire,E06000037,161447,286.36,201.17,293.65,105.16,341.58,749.47,48.04,,,,,,,,
West Devon,E07000047,57093,116.66,75.26,109.67,47.24,125.78,255.13,19.49,,,,,,,,
West Lancashire,E07000127,117427,270.89,140.38,208.48,89.49,320.31,456.41,37.46,,,,,,,,
West Lindsey,E07000142,95152,221.95,126.95,179.96,83.04,221.90,359.29,32.64,,,,,,,,
West Northamptonshire,E06000062,425726,926.52,579.27,762.44,306.10,899.82,1690.02,157.53,,,,,,,,
West Oxfordshire,E07000181,114233,202.30,137.82,195.47,78.64,249.52,556.39,33.20,,,,,,,,
West Suffolk,E07000245,179951,480.52,247.88,322.46,144.84,369.54,654.33,75.31,,,,,,,,
Westminster,E09000033,204240,354.50,133.47,188.72,58.04,341.13,1585.76,87.81,,,,,,,,
Westmorland and Furness,E06000064,226587,476.95,272.13,396.52,240.60,536.74,985.25,69.05,,,,,,,,
Wigan,E08000010,329329,876.43,437.77,642.42,294.31,734.09,1074.52,103.23,,,,,,,,
Wiltshire,E06000054,510336,935.89,662.40,970.89,361.40,1185.86,2218.55,158.16,,,,,,,,
Winchester,E07000094,127448,180.09,113.41,201.37,65.21,301.16,728.66,32.95,,,,,,,,
Windsor and Maidenhead,E06000040,153495,240.94,156.12,246.61,78.39,284.15,861.43,48.40,,,,,,,,
Wirral,E08000015,320199,726.51,391.68,597.64,242.66,726.40,1277.38,98.52,,,,,,,,
Woking,E07000217,103940,170.31,108.49,159.95,49.72,188.05,574.96,34.11,,,,,,,,
Wokingham,E06000041,177499,227.29,176.55,275.35,89.02,356.21,1007.75,49.51,,,,,,,,
Wolverhampton,E08000031,263730,818.06,355.51,445.27,158.66,486.33,847.63,117.84,,,,,,,,
Worcester,E07000237,103866,230.36,122.27,178.26,70.62,243.28,447.30,34.19,,,,,,,,
Worthing,E07000229,111338,232.03,152.88,217.78,77.60,254.33,454.21,41.98,,,,,,,,
Wrexham,W06000006,135115,357.80,162.25,263.30,105.60,274.06,496.34,49.10,,,,,,,,
Wychavon,E07000238,132495,302.65,175.39,237.21,100.14,284.96,566.89,48.06,,,,,,,,
Wyre,E07000128,111949,289.60,147.13,214.71,104.20,255.92,413.37,36.79,,,,,,,,
Wyre Forest,E07000239,101609,285.36,140.25,196.49,86.91,223.12,341.72,36.24,,,,,,,,
York,E06000014,202821,355.60,198.34,302.91,139.93,579.58,1034.11,55.54,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"In order to protect against disclosure of personal information, records",,,,,,,,,,,,,,,,
,have been swapped between different geographic areas and counts perturbed,,,,,,,,,,,,,,,,
,by small amounts. Small counts at the lowest geographies will be most,,,,,,,,,,,,,,,,
,affected.,,,,,,,,,,,,,,,,
