local authority: district / unitary (as of April 2023),mnemonic,Total,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,,,,,,,,,,,,,
North Somerset,E06000024,216727,518.47,0.46,12.41,27.61,5.98,7.89,804.96,58.84,30.23,111.31,12.91,,,,,,,,,,,,,
North Tyneside,E08000022,208952,476.21,47.11,10.55,67.28,12.25,4.55,680.65,63.84,29.20,95.70,19.52,,,,,,,,,,,,,
North Warwickshire,E07000218,65035,130.31,0.14,2.93,6.15,1.81,1.80,291.45,22.15,4.34,27.08,3.81,,,,,,,,,,,,,
North West Leicestershire,E07000134,104706,230.44,0.28,1.02,10.36,2.56,4.06,465.58,30.24,9.22,45.27,5.96,,,,,,,,,,,,,
North Yorkshire,E06000065,615487,1360.96,2.00,26.85,63.36,12.75,15.59,2290.73,167.61,70.77,491.61,45.38,,,,,,,,,,,,,
Northumberland,E06000057,320565,595.38,3.19,9.45,61.89,9.08,4.43,1180.84,91.87,22.67,175.78,26.41,,,,,,,,,,,,,
Norwich,E07000148,143926,301.61,0.90,4.97,47.97,7.65,8.83,380.42,42.65,62.65,148.90,11.63,,,,,,,,,,,,,
Nottingham,E06000018,323627,509.94,42.76,12.55,235.75,23.18,8.57,775.70,91.89,55.23,212.99,27.93,,,,,,,,,,,,,
Nuneaton and Bedworth,E07000219,134204,224.04,0.31,5.76,22.81,5.42,3.92,567.88,55.65,16.98,67.42,7.61,,,,,,,,,,,,,
Oadby and Wigston,E07000135,57753,115.84,0.37,1.47,11.99,2.25,1.49,217.08,16.14,7.64,24.54,3.78,,,,,,,,,,,,,
Oldham,E08000004,242081,323.84,38.39,7.22,70.74,29.06,3.90,803.21,89.38,11.67,123.55,20.51,,,,,,,,,,,,,
Oxford,E07000178,162039,440.41,1.19,8.10,100.59,6.46,5.81,265.90,27.55,119.66,150.23,10.07,,,,,,,,,,,,,
Pembrokeshire,W06000009,123366,188.68,0.46,2.25,8.40,3.10,2.84,500.01,36.04,5.16,61.99,8.57,,,,,,,,,,,,,
Pendle,E07000122,95753,115.59,0.29,2.70,17.83,14.11,1.63,348.37,35.35,5.19,66.56,6.24,,,,,,,,,,,,,
Peterborough,E06000031,215676,383.40,1.33,15.11,56.45,35.46,6.52,758.69,110.69,59.23,118.74,18.64,,,,,,,,,,,,,
Plymouth,E06000026,264693,397.48,0.68,5.75,118.86,18.61,24.51,960.17,96.36,39.57,189.33,23.55,,,,,,,,,,,,,
Portsmouth,E06000044,208002,376.70,0.98,29.34,76.97,20.00,12.50,630.66,75.20,79.45,192.48,20.70,,,,,,,,,,,,,
Powys,W06000023,133174,289.68,0.31,2.28,4.60,1.35,2.39,520.54,30.38,8.30,87.83,8.63,,,,,,,,,,,,,
Preston,E07000123,147835,257.39,0.48,9.26,65.44,11.59,3.64,497.00,60.41,17.91,99.20,10.01,,,,,,,,,,,,,
Reading,E06000038,174235,541.47,2.18,37.37,102.00,4.93,5.41,432.46,45.01,36.58,156.29,13.08,,,,,,,,,,,,,
Redbridge,E09000026,310260,765.43,319.57,132.29,126.61,13.17,9.88,623.13,46.14,24.26,104.85,28.85,,,,,,,,,,,,,
Redcar and Cleveland,E06000003,136536,155.22,0.29,8.61,24.66,11.74,1.95,524.97,46.97,9.79,63.46,14.05,,,,,,,,,,,,,
Redditch,E07000236,87034,152.94,0.26,3.84,20.65,7.41,2.08,379.54,38.38,9.20,41.41,5.73,,,,,,,,,,,,,
Reigate and Banstead,E07000211,150852,489.40,3.49,45.44,25.78,5.92,6.14,462.67,30.06,11.36,72.74,10.94,,,,,,,,,,,,,
Rhondda Cynon Taf,W06000016,237651,349.56,0.59,29.53,42.64,3.81,4.38,968.19,95.79,6.23,88.96,12.10,,,,,,,,,,,,,
Ribble Valley,E07000124,61558,139.51,0.25,2.34,3.81,1.04,1.32,266.02,14.53,4.00,34.08,3.86,,,,,,,,,,,,,
Richmond upon Thames,E09000027,195278,888.07,44.88,66.91,60.87,4.28,10.05,265.02,14.90,60.24,83.44,12.89,,,,,,,,,,,,,
Rochdale,E08000005,223775,312.19,12.84,12.46,71.45,29.99,4.73,805.55,81.32,12.53,104.28,16.08,,,,,,,,,,,,,
Rochford,E07000075,85667,227.11,0.93,29.08,8.75,1.80,2.57,303.39,18.59,4.31,27.14,6.27,,,,,,,,,,,,,
Rossendale,E07000125,70876,124.50,0.28,1.05,15.90,3.97,1.84,303.19,23.35,2.37,31.91,4.69,,,,,,,,,,,,,
Rother,E07000064,93111,190.65,0.48,13.51,5.14,2.03,3.10,297.26,20.31,5.34,43.38,6.46,,,,,,,,,,,,,
Rotherham,E08000018,265806,383.44,3.04,7.45,76.83,16.79,6.23,1091.89,105.23,13.83,102.53,17.79,,,,,,,,,,,,,
Rugby,E07000220,114366,275.64,0.57,6.83,17.18,4.12,2.93,461.73,46.38,17.21,60.62,7.03,,,,,,,,,,,,,
Runnymede,E07000212,88085,256.09,1.89,17.69,7.62,2.84,3.56,288.33,19.63,10.92,42.74,6.46,,,,,,,,,,,,,
Rushcliffe,E07000176,119078,382.36,1.91,2.63,24.39,1.98,1.91,380.16,21.61,16.13,43.16,6.51,,,,,,,,,,,,,
Rushmoor,E07000092,99758,237.05,0.73,18.85,23.64,2.40,4.54,413.17,38.95,13.99,59.41,8.64,,,,,,,,,,,,,
Rutland,E06000017,41050,99.21,0.12,1.53,1.08,0.54,0.91,140.01,7.99,5.70,31.05,2.85,,,,,,,,,,,,,
Salford,E08000006,269927,604.82,31.42,19.78,130.40,28.49,5.93,812.73,78.04,42.60,203.06,19.66,,,,,,,,,,,,,
Sandwell,E08000028,341835,408.18,21.71,40.17,184.95,35.73,8.10,1155.59,136.20,26.40,142.89,25.66,,,,,,,,,,,,,
Sefton,E08000014,279231,538.37,2.73,60.59,76.94,26.37,6.49,923.58,95.20,40.68,138.19,21.18,,,,,,,,,,,,,
Sevenoaks,E07000111,120516,368.34,2.49,47.45,6.83,2.17,4.69,359.80,23.58,4.48,45.84,7.84,,,,,,,,,,,,,
Sheffield,E08000019,556519,1079.12,41.80,27.07,276.82,44.15,9.53,1695.18,163.45,54.69,319.33,38.17,,,,,,,,,,,,,
Shropshire,E06000051,323608,643.33,0.54,11.81,17.20,11.33,6.63,1293.15,99.48,45.33,211.66,20.96,,,,,,,,,,,,,
Slough,E06000039,158498,309.48,9.09,35.99,48.76,14.38,5.11,533.05,58.62,23.69,87.95,15.66,,,,,,,,,,,,,
Solihull,E08000029,216236,547.91,1.07,24.21,56.90,9.57,3.76,728.18,54.36,15.49,63.95,11.90,,,,,,,,,,,,,
Somerset,E06000066,571550,1090.15,1.89,10.91,52.85,8.63,23.36,2252.98,163.74,103.04,422.23,38.41,,,,,,,,,,,,,
South Cambridgeshire,E07000012,162116,558.45,0.99,10.61,24.85,2.66,6.66,519.11,31.87,61.92,48.51,8.88,,,,,,,,,,,,,
South Derbyshire,E07000039,107203,230.89,0.39,1.97,10.61,4.83,4.26,496.72,31.98,7.51,39.58,6.37,,,,,,,,,,,,,
South Gloucestershire,E06000025,290423,811.02,0.62,6.79,68.82,4.28,15.00,1110.76,75.76,47.41,129.69,16.73,,,,,,,,,,,,,
South Hams,E07000044,88628,208.39,0.43,2.12,7.61,0.91,4.63,316.30,18.33,6.38,55.79,7.90,,,,,,,,,,,,,
South Holland,E07000140,95119,123.31,0.39,2.14,4.43,1.80,3.07,447.74,42.19,22.99,46.43,6.35,,,,,,,,,,,,,
South Kesteven,E07000141,143400,300.99,0.50,6.44,8.78,3.35,4.00,564.27,40.36,19.51,99.45,8.86,,,,,,,,,,,,,
South Norfolk,E07000149,141948,330.60,0.50,3.45,16.07,1.67,5.10,576.46,31.70,20.48,52.74,10.83,,,,,,,,,,,,,
South Oxfordshire,E07000179,149080,506.75,1.13,13.90,18.10,1.25,4.48,488.98,32.49,25.36,83.55,8.80,,,,,,,,,,,,,
South Ribble,E07000126,111042,243.71,0.23,4.73,16.84,3.10,3.25,474.49,34.78,15.04,44.99,6.44,,,,,,,,,,,,,
South Staffordshire,E07000196,110474,217.97,0.84,7.81,9.64,2.65,2.63,470.03,29.14,5.64,32.35,6.77,,,,,,,,,,,,,
South Tyneside,E08000023,147777,228.96,34.55,9.06,52.06,4.63,3.28,489.18,44.67,17.40,66.20,18.42,,,,,,,,,,,,,
Southampton,E06000045,248912,469.15,1.30,22.15,121.38,13.34,12.19,800.27,92.10,55.85,220.85,23.13,,,,,,,,,,,,,
Southend-on-Sea,E06000033,180685,431.05,3.75,70.07,40.30,6.04,5.86,512.96,44.39,27.36,132.77,15.35,,,,,,,,,,,,,
Southwark,E09000028,307641,1252.45,216.90,109.28,360.79,12.25,17.54,227.76,13.66,147.75,201.37,26.69,,,,,,,,,,,,,
Spelthorne,E07000213,102953,286.57,7.28,22.88,28.29,2.23,6.44,364.70,20.68,15.04,35.99,8.41,,,,,,,,,,,,,
St Albans,E07000240,148173,597.92,3.76,38.17,11.34,3.42,2.93,360.54,22.90,11.84,67.72,8.41,,,,,,,,,,,,,
St. Helens,E08000013,183245,293.94,0.45,14.73,45.41,14.16,4.48,730.75,74.40,14.97,74.72,12.02,,,,,,,,,,,,,
Stafford,E07000197,136870,306.37,0.40,7.41,10.50,3.90,4.09,542.95,40.47,20.14,75.15,7.50,,,,,,,,,,,,,
Staffordshire Moorlands,E07000198,95851,169.63,0.20,1.50,6.35,2.03,2.34,424.74,30.91,4.88,48.66,6.43,,,,,,,,,,,,,
Stevenage,E07000243,89501,199.48,1.63,22.01,18.89,5.65,3.08,343.02,34.39,13.85,55.68,6.60,,,,,,,,,,,,,
Stockport,E08000007,294776,777.06,4.48,33.19,83.92,11.54,5.67,994.84,71.08,35.68,129.78,18.75,,,,,,,,,,,,,
Stockton-on-Tees,E06000004,196594,291.40,0.70,8.15,34.95,20.43,3.02,788.94,68.04,19.52,84.26,19.80,,,,,,,,,,,,,
Stoke-on-Trent,E06000021,258375,265.87,0.51,7.00,57.00,60.93,8.69,1016.87,135.72,25.10,149.01,17.46,,,,,,,,,,,,,
Stratford-on-Avon,E07000221,134727,405.15,0.53,3.89,5.75,1.52,3.10,486.13,29.93,12.53,70.04,7.61,,,,,,,,,,,,,
Stroud,E07000082,121103,324.45,0.39,2.73,10.29,1.02,4.49,477.48,30.37,13.32,56.66,7.11,,,,,,,,,,,,,
Sunderland,E08000024,274166,424.78,16.52,8.06,121.59,13.76,4.73,940.15,103.75,23.22,136.38,22.05,,,,,,,,,,,,,
Surrey Heath,E07000214,90460,286.75,0.54,10.55,8.07,1.43,2.94,317.63,20.26,7.50,40.81,6.31,,,,,,,,,,,,,
Sutton,E09000029,209640,589.09,59.10,99.80,106.88,6.75,14.75,558.82,37.37,24.18,100.45,17.49,,,,,,,,,,,,,
Swale,E07000113,151678,272.47,1.13,34.08,7.39,3.32,6.00,587.63,46.32,14.49,88.70,10.60,,,,,,,,,,,,,
Swansea,W06000011,238500,394.98,0.82,6.82,44.29,12.58,5.17,873.08,81.48,17.06,108.20,14.24,,,,,,,,,,,,,
Swindon,E06000030,233414,558.07,0.99,7.96,102.44,12.86,8.66,856.41,93.71,50.96,116.46,17.52,,,,,,,,,,,,,
Tameside,E08000008,231063,402.34,13.87,20.54,90.14,15.69,5.21,858.63,75.74,18.58,119.90,16.22,,,,,,,,,,,,,
Tamworth,E07000199,78646,127.63,0.15,5.22,12.30,3.92,2.77,347.05,36.90,11.45,39.24,4.54,,,,,,,,,,,,,
Tandridge,E07000215,87878,285.70,1.75,30.20,9.45,1.61,2.96,272.76,16.47,2.97,29.75,5.96,,,,,,,,,,,,,
Teignbridge,E07000045,134805,271.07,0.34,9.48,16.41,1.87,6.69,523.42,34.52,12.07,77.66,9.14,,,,,,,,,,,,,
Telford and Wrekin,E06000020,185523,316.51,0.64,8.13,17.57,36.36,5.64,744.36,83.54,20.09,79.93,11.81,,,,,,,,,,,,,
Tendring,E07000076,148287,206.39,1.19,16.89,9.95,4.46,4.79,520.09,37.68,15.77,75.84,9.88,,,,,,,,,,,,,
Test Valley,E07000093,130488,369.59,0.51,7.90,8.83,3.83,3.97,492.42,37.46,17.07,70.15,8.71,,,,,,,,,,,,,
Tewkesbury,E07000083,94888,240.63,0.33,1.22,16.02,0.67,3.19,374.52,23.55,16.86,38.56,5.21,,,,,,,,,,,,,
Thanet,E07000114,140585,223.22,1.12,22.43,32.16,8.69,5.61,456.61,49.05,18.50,89.66,9.93,,,,,,,,,,,,,
Three Rivers,E07000102,93774,303.78,26.31,17.06,7.61,2.37,2.56,307.02,18.13,6.24,30.18,6.12,,,,,,,,,,,,,
Thurrock,E06000034,175997,326.60,30.68,93.67,40.31,8.60,8.21,669.98,54.97,15.74,67.47,15.34,,,,,,,,,,,,,
Tonbridge and Malling,E07000115,132196,368.91,1.21,34.08,9.34,1.91,4.38,473.00,30.74,8.74,57.51,8.35,,,,,,,,,,,,,
Torbay,E06000027,139324,188.31,0.31,5.27,30.54,5.87,8.99,488.51,47.53,10.88,115.30,11.56,,,,,,,,,,,,,
Torfaen,W06000020,92274,140.22,0.22,2.93,13.88,5.56,2.82,390.12,32.98,3.08,33.84,4.18,,,,,,,,,,,,,
Torridge,E07000046,68122,120.47,0.11,0.70,9.36,1.05,2.35,263.20,18.19,3.36,42.54,4.23,,,,,,,,,,,,,
Tower Hamlets,E09000030,310303,1211.81,332.35,110.17,139.59,13.88,12.19,218.54,15.26,111.67,215.35,26.66,,,,,,,,,,,,,
Trafford,E08000009,235063,704.14,38.36,8.06,47.53,11.94,3.56,716.61,48.43,38.72,96.12,14.86,,,,,,,,,,,,,
Tunbridge Wells,E07000116,115311,366.14,1.04,26.71,12.94,2.01,2.97,338.61,25.24,7.84,75.22,7.33,,,,,,,,,,,,,
Uttlesford,E07000077,91340,279.04,1.94,15.35,4.55,1.38,1.97,337.51,17.52,4.94,38.00,6.43,,,,,,,,,,,,,
Vale of Glamorgan,W06000014,131935,315.97,0.59,21.12,14.33,3.44,3.32,465.63,31.98,9.70,54.38,7.84,,,,,,,,,,,,,
Vale of White Horse,E07000180,138910,452.99,0.64,5.33,30.07,1.60,5.33,462.07,30.80,35.83,65.52,7.67,,,,,,,,,,,,,
Wakefield,E08000036,353375,572.68,0.90,24.09,96.67,33.31,9.79,1429.24,148.76,28.41,185.54,21.33,,,,,,,,,,,,,
Walsall,E08000030,284130,341.52,4.18,17.06,112.12,23.73,6.41,1065.52,107.58,21.92,119.14,17.21,,,,,,,,,,,,,
Waltham Forest,E09000031,278429,817.47,388.82,105.50,157.13,11.81,13.29,426.54,30.58,77.08,120.42,26.09,,,,,,,,,,,,,
Wandsworth,E09000032,327506,1667.61,255.67,123.14,214.77,12.72,27.07,274.59,16.13,141.70,191.15,25.89,,,,,,,,,,,,,
Warrington,E06000007,210969,505.79,0.79,10.63,31.85,11.84,6.32,818.61,71.87,39.54,87.78,13.68,,,,,,,,,,,,,
Warwick,E07000222,148452,504.05,0.73,9.84,13.88,2.99,2.84,443.71,33.15,21.72,86.25,7.90,,,,,,,,,,,,,
Watford,E07000103,102244,277.30,23.97,29.00,25.35,4.83,4.00,309.20,25.10,15.43,95.76,9.02,,,,,,,,,,,,,
Waverley,E07000216,128231,448.19,1.01,19.66,6.97,1.13,3.61,361.38,24.12,8.97,57.99,7.72,,,,,,,,,,,,,
Wealden,E07000065,160146,403.47,0.76,19.44,10.78,2.32,3.92,598.18,35.93,8.21,61.80,10.02,,,,,,,,,,,,,
Welwyn Hatfield,E07000241,119839,325.36,6.18,31.85,19.18,9.53,3.56,373.25,32.09,19.51,72.06,8.34,,,,,,,,,,,,,
West Berkshire,E06000037,161447,526.56,1.01,14.22,18.85,2.06,4.52,553.32,42.96,19.37,82.27,10.09,,,,,,,,,,,,,
West Devon,E07000047,57093,123.52,0.17,0.87,4.40,0.59,1.95,204.07,12.84,3.64,36.45,4.76,,,,,,,,,,,,,
West Lancashire,E07000127,117427,209.10,0.48,10.77,11.67,12.94,2.18,459.40,43.08,11.33,60.48,8.13,,,,,,,,,,,,,
West Lindsey,E07000142,95152,169.64,0.25,2.57,4.45,1.67,2.68,385.56,24.00,8.72,47.45,5.79,,,,,,,,,,,,,
West Northamptonshire,E06000062,425726,973.43,2.34,19.35,118.36,19.86,11.19,1713.11,174.68,51.25,231.61,31.12,,,,,,,,,,,,,
West Oxfordshire,E07000181,114233,319.60,0.65,4.21,17.91,0.88,4.07,439.43,28.65,22.19,68.07,7.22,,,,,,,,,,,,,
West Suffolk,E07000245,179951,326.96,1.04,5.47,16.36,4.79,6.26,799.42,57.77,32.12,125.18,13.14,,,,,,,,,,,,,
Westminster,E09000033,204240,879.45,151.33,32.22,109.61,15.38,8.82,103.85,8.40,55.77,189.60,21.83,,,,,,,,,,,,,
Westmorland and Furness,E06000064,226587,424.88,0.56,9.45,27.95,9.36,9.19,863.62,69.55,34.53,215.73,18.51,,,,,,,,,,,,,
Wigan,E08000010,329329,533.44,0.95,19.01,85.43,18.16,9.25,1387.69,126.53,28.66,165.43,20.84,,,,,,,,,,,,,
Wiltshire,E06000054,510336,1331.85,2.35,26.93,59.57,7.25,17.09,1897.25,135.45,68.86,328.04,34.77,,,,,,,,,,,,,
Winchester,E07000094,127448,406.66,0.95,8.95,13.40,1.64,3.39,375.18,25.22,12.43,82.48,8.12,,,,,,,,,,,,,
Windsor and Maidenhead,E06000040,153495,566.49,3.19,28.85,6.88,5.13,3.83,433.00,30.18,15.59,76.98,11.99,,,,,,,,,,,,,
Wirral,E08000015,320199,577.86,5.14,56.44,94.86,19.99,9.26,1108.97,93.47,29.03,141.00,25.19,,,,,,,,,,,,,
Woking,E07000217,103940,365.16,1.67,30.23,9.53,4.04,3.83,305.75,24.21,13.97,50.74,8.01,,,,,,,,,,,,,
Wokingham,E06000041,177499,702.62,1.92,21.32,20.70,1.89,4.09,517.16,32.86,17.92,55.43,10.16,,,,,,,,,,,,,
Wolverhampton,E08000031,263730,325.38,17.92,25.90,107.49,32.57,5.30,930.84,111.36,26.62,122.24,18.87,,,,,,,,,,,,,
Worcester,E07000237,103866,210.81,0.40,9.02,16.48,4.49,3.36,398.81,38.89,20.68,90.37,6.58,,,,,,,,,,,,,
Worthing,E07000229,111338,259.76,0.62,22.09,16.31,3.36,4.74,366.35,31.28,27.31,90.18,7.73,,,,,,,,,,,,,
Wrexham,W06000006,135115,174.71,0.22,3.45,23.63,10.64,3.69,589.66,67.56,10.58,65.72,7.68,,,,,,,,,,,,,
Wychavon,E07000238,132495,297.57,0.45,5.76,7.90,1.83,3.32,546.72,37.88,13.37,63.21,8.27,,,,,,,,,,,,,
Wyre,E07000128,111949,193.33,3.52,3.83,17.48,2.96,3.07,416.67,30.81,12.92,47.07,9.47,,,,,,,,,,,,,
Wyre Forest,E07000239,101609,163.59,0.26,7.19,5.64,4.93,3.08,424.98,35.74,8.46,50.41,5.13,,,,,,,,,,,,,
York,E06000014,202821,529.21,0.82,9.19,49.48,5.95,8.15,545.08,43.78,108.46,177.85,12.35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"In order to protect against disclosure of personal information, records",,,,,,,,,,,,,,,,,,,,,,,,,
,have been swapped between different geographic areas and counts perturbed,,,,,,,,,,,,,,,,,,,,,,,,,
,by small amounts. Small counts at the lowest geographies will be most,,,,,,,,,,,,,,,,,,,,,,,,,
,affected.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Census 2021 took place during a period of rapid change. We gave extra,,,,,,,,,,,,,,,,,,,,,,,,,
,guidance,,,,,,,,,,,,,,,,,,,,,,,,,
,"to help people on furlough answer the census questions about work. However,",,,,,,,,,,,,,,,,,,,,,,,,,
,we,,,,,,,,,,,,,,,,,,,,,,,,,
,are unable to determine how furloughed people followed the guidance. Take,,,,,,,,,,,,,,,,,,,,,,,,,
,care,,,,,,,,,,,,,,,,,,,,,,,,,
,when using this data for planning purposes. Read more about specific,,,,,,,,,,,,,,,,,,,,,,,,,
,quality,,,,,,,,,,,,,,,,,,,,,,,,,
,considerations in our,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/methodologies/traveltoworkqualityinformationforcensus2021,,,,,,,,,,,,,,,,,,,,,,,,,
