Total_deaths,Asian,Black,Mixed,White,Other_ethnics,No_religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,No_answer,No_qualifications,Level1_entry_level_qualifications,Level2_qualifications,Apprenticeship,Level3_qualifications,Level4_qualifications_above,Remote_jobs,Underground_metro_light.rail_tram,Train,Bus_minibus_coach,Taxi,Motorcycle_scooter_moped,Driving,Passenger_in_a_car_van,Bicycle,On_foot,Other_methods,Children,Pre_Teens,Teenagers,Adults,Middle_Aged,Elderly
1.2,22.6,5.39,26.65,2275.04,6.96,978.76,1171.56,7.73,2.53,2.39,7.98,0.51,152.71,297.57,196.03,294.5,127.04,336.53,667.95,306.09,0.4,8.37,17.96,1.75,6.83,539.75,33.29,18.23,90.72,10.4,94.14,61.27,37.07,135.95,159.31,512.26
1.56,36.72,10.19,32.21,1859,9.95,797.68,994.53,6.24,5.59,3.3,11.6,1.29,118.67,210.78,140.61,233.19,77.4,286.21,622.91,358.51,0.65,10.95,6.46,1.53,3.64,470.84,30.49,7.54,57.48,8.27,103.03,71.26,42.2,145.97,182.07,455.48
1.53,62.26,30.23,65.77,2147.07,21.02,973.18,1142.3,8.46,14.27,8.68,27.2,3.47,138.67,259.59,176.72,269.57,88.17,315.92,723.88,484.58,4.99,46.99,15.68,3.59,3.27,499.34,28.21,9.3,78.83,10.78,114.86,78.31,41.57,169.39,204.83,391.04
2.24,17.57,4.52,22.99,2155.02,4.42,855.14,1187.68,5.02,3.02,1.3,7.08,1.38,133.27,474.57,215.81,285.06,132.34,310.91,404.87,170.31,0.31,1.29,9.53,2.51,3.64,512.71,35.9,18.48,96.43,9.93,85.48,61.24,34.59,136.02,143.12,539.55
0.56,57.11,13.85,49.53,5161.54,19.77,2074.71,2825.79,13.71,11.74,4.4,30.46,3.52,318.53,813,448.2,628.46,319.47,768.46,1361.04,597.52,0.88,12.12,29.99,6.01,10.8,1382.84,99,62.95,190.08,26.54,93.67,64.34,38.46,143.99,168.19,491.33
6.03,178.97,21.32,42.19,1658.5,20.43,651,969.22,5.14,5.59,0.59,166.98,6.24,108.23,313.43,166.68,226.1,93.28,264.6,446.59,205.04,0.4,3.45,11.59,14.87,4.43,510.4,52.43,20.85,86.99,8.52,116.43,73.15,42.78,187.89,190.09,389.67
3.63,53.4,21.02,57.43,3665.96,14.28,1710.97,1796.26,12.61,10.72,4.12,20.03,2.34,233.57,621.33,360.9,480.87,220.94,542.13,882.58,430.29,1.08,7.93,19.16,5.14,9.81,910.41,56.59,56.75,128.17,22.53,94.04,65.85,39.08,143.17,160.96,496.91
3.11,54.91,20.26,43.41,1430.62,26.09,680.42,723.1,8.8,7.95,2.9,35.09,0.65,104.85,241.17,145.3,192,74.49,223.65,390.57,156.86,0.82,18.51,23.33,6.48,3.55,332.83,30.81,16.22,81.88,7.76,100.77,67.49,41.89,166.84,177.65,445.36
1.3,81.43,20.14,43.64,1953.35,15.31,950.92,966.23,7.96,20.91,1.77,21.78,15.85,118.67,234.79,173.66,254.03,112.34,325.45,566.1,370.16,0.64,13.22,12.84,2.93,6.52,547.59,36.42,17.79,59.32,9.56,118.14,73.22,39.11,177.73,198.84,392.95
1.92,140.24,26.8,88.12,1851.36,43.15,761.01,1117.53,11.62,34.36,11.62,54.7,11.5,137.87,182.08,109.19,192.76,54.46,229.46,878.07,557.47,4.48,42.74,10.61,2.14,6.06,316.79,17.96,22.17,47.45,9.82,131.24,84.82,40.37,134.21,228.66,380.7
2.25,588.3,937.49,303,2662.93,620.6,1010.75,2370.6,26.59,158.5,57.52,952.44,18.58,356.96,895.67,374.16,449.36,155.78,534.12,1446.56,696.81,194.54,110.59,236.87,12.69,12.21,723.83,48.74,31.6,127.24,33.73,133.37,87.26,50.47,192.18,216.01,320.72
2.84,149.94,60.92,75.85,1757.93,46.56,696.79,1033.87,7.93,44.12,67.8,72.8,28.61,125.8,321.22,176.43,249.66,85.05,272.28,552.03,389.96,73.5,23.83,13.22,7.24,4.6,418.53,26.69,6.24,43.46,12.05,115.63,69.94,40.69,172.43,199.94,401.38
2.71,143.04,24.31,55,996.36,35.21,447.78,603.54,8.51,44.79,3.19,60.82,3.47,76.66,127.75,79.11,126.68,40.71,156.63,443.74,277.78,5.38,33.22,13.15,2.62,5.45,211.26,14.35,10.21,39.3,5.61,122.92,78.87,44.21,157.62,221.64,374.74
2.56,27.7,13.49,31.73,1669.62,6.69,873.01,744.95,4.04,8.03,0.62,7.75,5.44,96.07,287.08,161.74,217.24,108.18,263.93,374.97,210.81,1.69,3.73,33.42,3.35,4.88,469.19,37.03,18.82,61.2,7.47,105.13,66.52,39.8,179.65,185.49,423.42
0.87,98.77,17.62,51.25,1828.65,28.71,982,809.04,11.08,10.81,3.11,43.61,2.77,149.15,233.6,140.95,197.22,82.36,432.48,598.2,283.28,0.54,8.18,43.97,3.22,7.31,343.78,33.71,43.7,148.78,8.41,92.46,55.79,81.03,262.71,177.24,330.77
2.31,32.75,10.38,26.76,1696.42,7.78,774.43,871.43,5.28,6.21,1.02,11.06,1.36,95.68,205.21,145.26,216.15,97.48,285.42,494.37,297.55,0.5,9.28,7.76,2.77,5.16,439.71,27.02,18.59,43.97,9.57,99.25,65.59,38.67,152.62,177.78,466.1
2.02,19.09,12.61,21.88,1522.61,11.2,633.6,826.59,3.7,3.3,1.7,10.57,1.72,98.22,339.12,169.6,206.76,88.8,214.45,250.24,146.61,0.4,4.55,8.18,2,3.38,436.36,41.95,22.57,56.61,7.24,106.68,65.37,38.38,173.92,176.88,438.77
3.32,66.17,10.57,32.66,1574.26,16.79,710.95,815.73,16.64,25.18,2.26,17.15,0.71,96.7,275.09,164.87,210.68,89.72,244.67,388.37,213.33,0.62,14.44,20.43,3.97,3.07,370.61,29.93,8.34,67.55,8.55,99.3,66.57,37.36,157.41,171.35,468.02
1.29,9.68,3.75,14.33,1314.84,5.31,561.42,681.19,3.41,1.6,0.91,3.67,1.05,86.65,208.02,118.49,177,73.16,199.25,325.7,173.98,0.15,1.47,7.58,0.53,3.11,362.19,25.41,4.43,35.4,5.28,96.89,63.54,48.16,152,161.72,477.69
3.12,18.17,5.13,17.94,1213.57,5.9,393.34,776.77,4.26,3.63,4.46,8.92,0.99,63.24,172.23,99.25,148.81,67.97,186.76,369.78,176.01,0.48,2.73,12.29,2.46,1.8,283.7,20.33,8.29,38.7,6.55,88.88,60.11,35.44,138.74,164.88,511.94
2.27,76.3,34.3,37.07,2842.72,48.46,1217.28,1542.63,7.27,8.09,45.01,63.92,5.98,136.4,541.85,248.22,345.17,180.16,425.05,700.98,362.94,23.67,6.06,111.56,11.99,3.61,634.53,65.83,16.92,103.44,15.34,107.69,67.68,40.93,184.98,188.29,410.43
2.47,70.21,41.44,63.98,1625.45,15.63,865.73,769.95,5.64,11.99,1.52,38.39,14.75,100.25,263.4,144.65,206.47,92.41,273.61,476.04,266.78,1.04,2.68,55.34,3.72,3.28,438.33,30.04,11.57,50.03,7.67,108.34,69.07,38,168.35,190.13,426.11
1.84,132.35,74.77,77.68,1742.31,24.32,813.47,978.28,6.21,19.88,0.99,96.05,3.95,122.52,301.69,191.12,253.02,101.26,309.31,453.86,246.46,0.37,3.33,43.16,3.01,6.48,532.03,48.97,33.68,91.55,7.61,119.25,73.14,46.17,205.19,194.45,361.8
1.9,18.11,15.24,18.75,1210.53,6.97,614.47,566.38,4.21,3.5,0.57,7.03,0.45,64.98,181.19,131.75,165.21,69.64,206.39,257.92,137.34,0.36,3.22,17.48,3.45,7.53,310.01,24.4,37.69,44.56,10.16,108.84,71.03,40.45,174.79,180.18,424.71
2.76,185.9,107.7,43.81,1268.73,50.04,532.22,814.37,5.38,23.1,1.18,51.53,132.62,85.47,266.26,156.26,199.02,76.75,216.31,349.7,201.98,3.14,41.13,25.8,3.47,5.33,384.2,40.14,6.27,50.57,8.89,128.67,80.35,43.95,185.34,199.18,362.51
2.08,29.99,17.1,24.4,1461.9,11.99,698.47,721.4,4.14,5.44,0.98,11.2,0.57,94.81,339.69,166.45,200.4,92.51,204.64,233.8,105.55,0.31,1.92,28,3.24,3.98,354.21,38.55,19.77,66.84,15.01,103.44,67.29,40.84,167.57,169.27,451.59
1.66,589.15,938.88,267.98,2494.4,187.96,1459.53,2000.28,77.99,180.44,9.34,382.9,50.03,289.96,593.66,284.27,367.9,122.96,467.16,1625.58,897.93,211.19,191.74,237.32,9.84,13.66,443.44,33.46,41.64,108.46,25.72,130.8,74.42,43.55,245.43,236.29,269.5
1.53,149.19,33.31,67.95,1933.29,41.72,882.6,1072.6,15.35,30.55,5.92,48.1,4.9,154.99,209.77,133.95,209.58,72.6,364.91,815.22,477.39,1.43,25.05,19.58,2.59,5.56,399.62,28.6,18.39,91.19,11.59,100.9,68.24,64.29,211.43,190.91,364.24
1.84,416.52,846.59,270.92,2133.47,347.36,1458.05,1231.65,36.3,30.95,269.97,535.7,28.92,347.68,542.91,198.03,270.33,76.5,374.47,1699.91,1035.59,158.63,77.32,216.82,14.9,10.41,180.43,13.18,155.1,196.72,21.71,120.76,70.94,43.06,316.71,222.71,225.83
2.13,22.25,7.92,27.75,1920.71,11.84,701.21,1166.11,4.51,5.07,0.71,12.47,1.24,92.12,338.75,191.15,269.62,88.59,295.24,385.39,225.39,0.4,7.28,29.68,7.62,3.59,492.35,50.06,18.31,66.56,8.27,115.57,75.36,43.05,180.44,193.51,392.07
1.53,299.1,347.86,190.84,1792.17,207.6,868.5,1296.31,26.69,34.22,19.02,329.84,6.97,237.01,284.01,122.27,176.41,54.75,312.41,1379.51,795.06,179.37,36.81,116.26,9.22,15.4,120.55,7.96,76.15,146.23,16.7,97.72,58.04,35.93,326.21,217.42,264.67
1.55,82.08,10.83,31.03,1376.53,11.96,580.66,759.85,3.97,38.38,1.83,17.35,22.73,81.82,169.44,112.04,174.26,74.86,215.35,470.77,270.72,0.33,4.17,6.27,1.15,1.58,388.99,21.26,8.29,47.36,5.48,103.35,72.78,43.02,151.91,187.81,441.13
1.79,357.57,719.88,287.48,2332.89,395.91,1294.17,1610.36,38.03,54.67,145.58,515.83,13.82,325.76,618.48,228.24,284.94,105.06,391.34,1615.41,863.98,335.09,81.69,237.67,9.7,17.15,285.62,22.57,80.96,122.7,24.77,112.3,70.25,43.82,250.79,241.94,280.89
2.01,86.06,90.28,47.22,1196.24,26.12,627.54,646.51,5.73,13.8,4.94,57.9,1.32,78.72,238.03,151.86,179.99,63.83,187.96,276.76,149.21,11.67,15.17,17.17,8.49,4.06,378.44,38.86,15.26,65.77,8.29,137.3,79.42,42.74,204.37,209.75,326.41
2.47,1830.48,296.7,152.34,1475.41,291.82,429.89,1372.67,43.57,1044.08,113.16,642.99,42.5,238.65,564.77,265.7,338.62,103.12,409.35,1461.21,699.88,241.76,73.14,134.37,7.99,9.14,587.45,49.93,14.18,95.22,24.09,121.87,75.61,45.07,206.95,222.29,328.21
1.51,55.7,13.06,34.56,1424.57,12.13,633.62,766.28,9.76,18.39,1.81,12.5,5.04,86.43,135.44,109.47,175.22,58.87,221.85,514.62,349.81,0.71,10.3,3.52,1.05,2.9,339.94,18.5,9.13,39.27,6.4,114.95,76.98,44.93,154.26,206.3,402.58
2.71,24.79,6.89,10.4,1379.89,8.58,573.15,751.31,2.79,3.44,0.42,18.79,2.57,73.67,267.8,109.63,169.85,80.64,213.43,287.02,101.79,0.51,4.17,19.23,9.9,1.13,347.78,35.26,8.69,48.51,7.89,114.42,76.76,43.45,178.58,172.69,414.09
2.64,39.29,19.55,40.88,1288.84,21.18,724.28,533.33,8.8,7.25,2.66,27.38,0.57,92.89,232.99,129.94,174.38,59.1,197.81,330.88,169.54,0.68,16.55,18.13,10.09,4.55,294.24,33.84,8.3,69.64,8.1,109.75,69.28,40.18,174.25,187.55,418.98
2.38,32.64,11.62,26.63,1845.59,7.85,912.03,872.5,5.53,5.25,1.5,10.18,1.52,106.19,317.47,180.38,243.51,102.14,283.22,422.36,223.29,0.28,9.67,24.09,6.32,6.29,482.81,43.8,18.3,49.81,8.63,104.87,66.95,39.55,162.73,166.38,459.52
3.22,436.12,334.13,151.01,3056.9,81.71,1243.05,2118.84,16.92,99.99,20.22,249.97,69.69,224.83,649.87,363.35,483.8,166.98,528.68,959.32,645.33,129.56,135.11,107.66,11.45,9.43,710.95,52.01,13.14,94.52,24.01,127.27,72.39,43.36,192.09,201.65,363.23
1.57,34.36,8.78,30.68,2808,15.79,1060.85,1589.76,10.01,5.95,2.2,12.24,1.81,200.81,438.67,232.11,343.69,143.43,411.68,796.63,350.41,0.48,4.2,8.6,3.84,6.26,742.65,56.39,39.8,145.49,13.11,95.9,63.97,38.45,151.63,167.28,482.78
2.95,175.38,80.27,62.56,1288.13,64.19,404.23,697.51,9.65,82.68,284.23,62.93,3.8,108.17,213.46,122.72,176.55,59.26,197.39,528.82,326.13,20.3,30.97,23.38,4.17,3.63,327.89,20.36,5.53,46.07,9.06,121.91,78.72,43.74,170.25,212.93,372.44
2.62,10.75,3.45,18.36,1372.86,3.39,625.61,683.61,5.14,1.33,0.85,3.7,0.28,80.72,175.17,109.42,161.31,70.93,213.04,417.09,200.99,0.48,11.71,9.48,2.8,1.91,359.06,23.8,5.83,69.73,5.41,100.44,67.52,38.11,158.04,180.25,455.64
2.31,1579.28,371.12,206.97,2283.41,298.51,917.38,1850.34,40.61,511.57,21.57,682.87,408.06,265.37,680.22,369.84,441.76,159.54,555.19,1404.62,700.16,145.04,57.54,206.93,10.38,11.96,858.61,57.49,25.21,111.95,27.14,131.9,77.41,48.61,210.06,224.48,307.54
1.82,48.76,10.72,30.83,1660.5,9.79,733.85,877.45,4.11,19.38,0.6,12.33,11.46,92.75,266.58,155.33,210.45,95.99,261.82,428.06,258.2,0.43,2.6,10.88,1.75,2.93,486.48,30.18,12.77,52.97,6.65,105.91,67.63,38.28,165.81,186.8,435.56
1.53,61.57,20.33,48.49,2129.33,14.22,956.87,1120.5,9,12.61,4.21,19.68,1.63,139.28,233.55,176.8,291.28,90.43,338.93,691.2,455.75,0.84,19.13,9.67,1.55,4.04,505.76,31.81,10.88,69.31,9.36,104.78,73.13,40.42,150.84,185.4,445.43
1.97,1639.83,322.4,209.37,1968.84,324.23,828.88,1708.35,60.92,423.88,9.64,744.08,382.31,270.64,660.45,335.79,362.37,125.34,434.51,1472.97,697.89,155.64,78.8,287.2,9.84,18.58,631.65,47.14,62.84,133.45,27.38,129.53,76.94,43.93,216.78,246.26,286.56
1.38,89,40.99,62.85,2589.06,19.64,1225.87,1325.67,10.38,15.06,3.44,40.02,5.04,162.15,359.34,244.63,334.76,127.38,403.12,768.32,494.21,0.79,15.57,17.32,4.86,5.44,684.35,48.62,36.47,97.31,10.95,112.09,68.03,38.34,173.32,198.14,410.08
2.57,192.12,3.47,16.9,1053.25,8.32,361.91,649.9,2.35,1.3,0.43,186.67,0.46,65.72,231.63,106.05,144.41,74.02,178.58,255.84,97.74,0.12,3.45,14.87,15.38,2.29,328.63,33.31,4.14,46.11,5.9,124.12,77.79,47.27,189.09,182.24,379.49
2.28,117.91,75.63,99.29,1824.36,46.23,980,912.48,9.23,20.79,1.56,84.17,7.06,135.13,375.71,208.17,249.43,108.68,282.6,453.86,258.17,0.53,8.66,38.39,7.14,6.99,497.82,59.54,33.17,117.33,10.71,124.42,74.76,45.98,205.37,204.05,345.41
1.82,25.76,7.41,26.65,2110.38,5.87,956.22,1038.08,7.73,3.98,2.11,9.19,0.6,140.97,341.83,206.9,271.14,138.29,332.22,507.89,200.2,0.6,3.9,35.49,1.29,9.62,460.19,32.53,19.75,114.71,18.89,88.39,60.22,35.46,141.52,155.17,519.24
0,0.09,0.06,0.36,31.05,0.28,14.72,14.98,0.05,0.02,0.02,0,0,1.94,3.3,1.84,4.21,1.36,5.28,10.15,4.99,0,0.02,0.11,0.02,0.14,4.37,0.29,1.97,4.79,0.59,99.13,58.79,13.61,144.31,183.67,500.49
1.5,333.59,445.3,251.46,2087.69,237.5,1370.57,1163.94,28.09,34.01,42.05,400.33,9.34,261.86,391.3,159.16,203.67,65.25,346.06,1610.84,999.74,171.95,47.45,144.79,10.67,9.61,121.94,8.55,95.02,153.72,17.75,97.81,54.38,40.7,344.15,214.28,248.68
1.75,263.76,174.74,147.57,1415.93,219.22,551.69,1074.18,24.88,24.54,41.54,261.28,4.94,221.71,216.45,84.37,136.38,36.84,239.19,1134.46,619.86,103.17,18.03,62.85,15.54,8.8,82.59,7.54,36.83,105.66,14.9,87.43,54.06,37.94,260.46,211.72,348.38
2.52,44.71,13.06,31.33,2286.13,15.68,943.47,1252.87,7.37,6.63,2.43,12.46,1.84,151.55,466.88,241.61,302.15,127.44,328.01,465.34,219.41,0.76,8.82,12.46,2.65,5.28,643.39,51.95,38.03,78.73,10.95,101.25,63.56,36.71,161.47,166.71,470.3
2.29,116.43,78.47,69.92,3795.51,76.39,2036.1,1648.58,11.56,10.01,2.26,143.85,4.29,262.71,836.75,374.35,466.99,227.6,579.7,720.58,240.66,0.64,6.41,137.93,23.19,15.01,948.72,141.04,126.56,165.4,19.29,124.7,74.3,46.37,226.45,190.29,337.9
1.81,463.82,73.45,139.37,1779.03,148.09,893.01,1110.35,26.74,131.01,10.74,207.07,22.12,185.38,249.86,135.47,206.35,66.99,306.23,1078.01,608.1,22.57,76.63,85.5,3.53,10.92,326.91,21.63,36.86,98.59,12.43,119.42,74.54,44.67,204.84,233.02,323.5
2.01,1304.51,154.12,210.51,4941.65,100.79,2333.17,2642.68,15.43,26.69,2.9,1240.12,53.85,371.03,1112.86,523.28,714.39,335.49,932.45,1603.98,773.2,1.56,32.46,107.83,52.72,9.36,1564.88,143.31,21.35,208.42,29.79,121.86,78.83,49.23,186.31,192.53,371.23
2.56,38.89,19.58,41.18,2281.04,13.2,650.7,1594.64,4.03,7.06,1.33,15,1.01,115.71,505.06,204.55,277.29,105.61,331.71,458.24,230.53,0.79,27.24,72.12,20.76,2.6,549.09,66.96,18.41,75.6,12.56,124.41,71.16,42.43,199.88,178.9,383.22
1.64,357.12,1179.68,397.07,2707.76,279.58,1845.52,2149.04,37.76,49.25,20.82,400.81,8.16,373.53,545.11,251.79,325.73,108.03,494.76,2344.21,1421.75,290.38,132.17,327.28,12.53,22.68,263.28,15.69,150.45,165.97,30.13,95.08,58.25,37.51,342.05,218.13,248.98
1.99,79.86,18.82,34.15,2061.49,20.17,843.31,1148.12,9.36,9.36,2.23,41.26,2.28,145.97,292.58,159.68,232.36,105.19,419.23,599.01,239.05,0.6,7.1,32.44,4.71,4.79,489.67,47.42,26.21,104.87,9.88,99.34,63.62,64.14,202.94,168.1,401.86
1.89,1216.21,702.99,424.31,9943.16,292.58,5054.16,5318.78,44.53,142.8,97.09,976.87,155.65,733.03,1852.87,932.5,1226.89,532.22,1871.23,3537.86,1961.13,3.86,61.2,420.65,83.07,14.14,2420.36,233.16,80.41,461.97,55.26,118.74,70.28,52.85,236.13,193.82,328.17
2.2,2478.46,445.66,215.33,2334.07,236.6,1310.78,1412.32,18.3,1019.74,5.05,1339.23,254.87,317.74,1203.65,482.63,526.04,170.79,725.98,1206.87,457.5,2.25,11.7,167.04,44.56,7.27,1041.81,212.78,84.74,334.47,36.22,127.82,82.61,63.78,246.62,202.05,277.12
2.66,29.42,11.19,38.13,1457.87,11.25,745.75,660.34,8.68,4.91,4.73,13.03,0.98,97.63,207.17,131.66,183.43,69.67,213.7,448.94,243.44,0.57,15.93,31.57,1.53,3.64,304.52,20.48,9.34,51.9,6.6,98.62,68.36,41.09,136.61,173.72,481.6
1.83,417.17,1246.73,375.74,2397.46,219.24,1710.06,2040.47,50.66,100.07,12.8,344.93,11.15,351.06,549.17,274.81,362.93,112.49,488.59,1871.72,1084.12,166.93,223.2,265.67,9.73,15.66,382.81,23.69,86.28,126.2,28.09,124.1,69.34,41.28,257.01,239.68,268.6
2.64,38.67,9.31,30.78,1563.47,6.74,628.43,893.66,3.8,7.13,0.95,11.19,14.3,82.67,234.09,138.35,193.46,73.48,236.12,461.51,247.25,0.43,7.96,7.62,2,2.45,429.33,28.23,7.98,42.29,6.4,102.26,65.36,39.55,160.51,178.94,453.39
1.58,51.85,22.71,32.04,1482.1,19.64,758.21,680.09,5.5,7.06,1.08,29.37,1.6,113.13,234.48,131.08,172.73,75.06,344.76,355.45,146.42,0.2,3.25,26.76,7.11,3.86,339.85,49.62,31.81,106.54,8.38,101.27,60.04,75.85,281.31,173.15,308.38
2.63,430.18,262.82,261.51,6327.84,248.41,2215.35,4312.05,32.97,58.9,28,399.03,9.93,443.69,1395.09,541.54,714.84,273.04,1253.49,1923.4,832.28,8.34,79.6,346.83,55.88,9.17,1268.86,157.4,75.32,313.48,40.42,109.23,61.64,59.92,256.6,179.98,332.62
2.26,1290.92,352.22,149.04,1577.11,120.58,613.2,1321.47,10.29,115.23,3.81,1149.41,46.97,212.2,611.62,304.43,339.95,129.35,384.71,798.58,328.43,5.17,38.87,104.08,28.13,4.09,738.08,104.09,17.09,138.74,22.67,145.13,88.23,53.02,221.76,214.28,277.58
2.26,127.24,55.87,62.17,2445.72,32.3,1092.24,1341.49,20.78,38.38,2.54,51.62,4.18,154.68,384,240.29,336.28,132.42,385.86,658.92,415.85,1.67,34.69,24.52,4.01,4.77,671.22,52.89,12.39,102.73,13.9,120.98,70.44,39.46,183.71,199.15,386.26
2.1,11.48,3.66,13.9,993.52,3.22,445.47,508.09,3.05,1.98,1.98,4.62,0.73,55.56,165.37,104.48,138.19,55.77,151.8,218.14,151.66,0.85,9.88,3.78,0.88,1.72,261.3,15.46,4.52,29.4,4.79,97.57,65.28,40.58,148.99,166.22,481.36
1.64,16.28,4.06,17.34,1189.51,4.28,469.58,663.8,4.46,2.22,1.01,5.98,1.33,76.77,151.49,89.56,145.3,57.15,167.03,403.13,193.39,0.23,4.28,2.65,0.59,2.31,288.94,17.09,6.6,33.84,4.76,88.8,66.77,41.92,131.75,158.18,512.58
1.65,1783.34,1020.85,449.69,4858.97,438.1,2773.75,3096.55,49.87,93.7,40.78,1905,42.11,506.81,1334.07,542.05,699.71,237.38,1233.54,2552.61,1145.89,95.31,44.12,366.69,56.61,7.16,1276.26,127.3,113.17,350.86,46.26,128.53,77.98,64.72,294.36,197.3,237.11
2.67,34.61,18.19,23.92,1622.26,12.67,780.83,796.09,4.73,5.83,0.57,19.21,3.7,93.14,339.44,163.32,204.75,91.38,245.6,308.33,135.67,0.46,3.14,28.3,9.4,3.66,487.06,59.51,9.2,51.62,7.81,113.59,70.26,37.56,186.52,189.88,402.19
2.61,255.38,243.59,121.76,3652.33,61.35,1863.9,1953.57,15.48,49.14,3.36,118.3,67.59,236.62,668.63,416.72,548.84,211.09,619.84,883.09,533.97,4.85,82.71,47.87,12.63,12.5,1076.8,97.62,14.59,147.47,23.39,127.4,76.39,46.02,195.32,198.72,356.14
1.76,9.28,2.97,10.21,776.83,2.48,315.51,430.24,2.29,3.1,0.43,2.01,1.08,44.32,108.97,66.51,97.65,44.82,122.52,206.81,112.49,0.08,1.86,3.14,0.7,1.44,214.77,14.13,6.51,36.39,3.01,101.33,68.85,38.18,149.91,173.14,468.59
2,620,354.58,197.76,2008.1,153.36,933.03,1569.71,29.42,195.36,11.68,335.77,9.51,230.65,381.26,191.61,255.78,89.11,337.52,1338.75,750.14,188.37,82,143.32,5.96,17.85,350.41,25.25,50.15,103.54,19.18,124.69,72.42,38.4,220.84,244.43,299.22
0.83,8.71,1.56,13.93,1255.95,3.45,577.94,607.26,4,1.7,0.98,2.12,0.45,81.32,179.93,107.95,163.42,63.86,189.97,324.23,185.34,0.15,2.15,8.97,0.99,3.01,330.09,24.14,7.37,55.85,6.01,103.9,72.88,41.27,147.29,174.95,459.71
1.72,12.72,8.57,22.67,1540.94,6.21,692.75,785.07,5.07,2.56,1.33,3.94,0.42,93.31,235.25,141.73,198.06,82.81,242.72,401.52,240.55,0.43,6.89,2.65,1.01,3.35,440.24,22.68,11.73,38.65,6.85,94.39,65.25,40.04,154.05,169.81,476.47
2.09,85.29,20.71,59.29,2180.18,18.17,994.73,1132.63,8.94,24.37,5.08,28.52,2.29,149.75,223.98,178.13,286.78,89.38,344.82,738.83,485.13,1.08,39.49,9.65,2.91,4.35,499.19,33.53,9.71,92.32,8.92,115.99,75.72,40.65,152.2,206.14,409.29
2.54,233.78,59.12,46.49,1836.6,53.73,812.04,1024.73,6.77,22.25,0.64,227.79,9.39,119.03,422.67,173.84,236.57,109.07,309.48,466.75,146.84,0.43,7.27,35.08,31.76,1.53,476.32,62.9,17.37,79.46,15.38,130.09,78.26,47.06,214.1,176.12,354.38
1.75,552.23,431.48,181.65,3193.24,88.7,1687.96,1904.58,21.75,200.02,5.93,317.35,30.35,255.21,551.18,378.36,495.93,162.32,547.99,1247.85,808.68,3.53,29.67,70.23,44.25,6.94,971.59,108.22,43.52,112.91,21.78,132.37,84.42,44.37,195.19,228.53,315.13
2.73,40.85,10.94,33.99,1255.61,12.46,519.98,706.71,5.34,10.01,3.38,16.21,1.83,84.82,137.9,96.61,152.71,49.72,173.24,483.59,300.23,1.1,19.4,4.52,1.56,3.38,258.08,16.3,6.97,38.42,6.03,99.38,72.8,41.51,136.18,187.51,462.63
1.72,32.58,10.89,34.32,2635.57,9.96,1108.32,1406.23,8.3,4.4,3.63,9.14,1.35,166.41,371.06,236.66,340.87,161.06,408.52,718.55,371.2,0.43,6.94,10.98,2.17,6.27,663.78,42.78,27.79,73.85,13.09,90.34,63.48,36.97,132.32,158.61,518.28
1.81,21.86,12.46,28.57,1833.8,8.27,784.78,979.47,4.48,3.55,1.39,11.6,2.57,109.1,301.3,163.87,231.04,98.53,285.11,458.26,229.07,0.51,4.45,8.83,2.49,3.21,492.57,39.46,26.14,70.06,8.06,103.63,67.07,40.23,169.43,177.77,441.88
1.64,528.73,153.7,107.21,3718.25,141.85,1897.61,1921.22,20.95,65.25,8.88,416.69,22.45,276.84,716.25,305.65,401.12,185.03,817.51,1333.34,581.42,36.21,12.3,184.16,25.31,3.64,751.2,84.98,44.67,190.93,22.94,107.8,64.38,68.1,270.82,175.25,313.65
2.84,71.92,19.97,30.8,1774.26,13.28,743.78,990.46,7.34,10.81,1.02,34.44,3.9,110.25,320.53,154.79,217.7,106.64,312.95,448.32,201.54,0.19,3.39,16.16,17.03,3.97,510.06,52.12,9.39,58.07,6.26,99.77,63.37,51.42,186.49,175.13,423.82
2.12,2295.8,949.73,254.37,1672.38,266.09,786.95,1917.15,33.46,331.62,6.94,1892.36,87.35,355.29,885.42,386.25,435.06,133.53,554.37,1721.69,739.57,594.47,217.07,229.62,12.43,16.47,439.2,36.76,58.21,152.11,36.31,134.4,78.86,50.61,287.77,235.56,212.79
0.56,17.58,5.04,18.19,1481.7,5.25,689.27,713.12,5.05,2.71,1.39,6.68,0.79,99.93,226.13,140.97,197.42,86.09,226.25,363.43,169.75,0.25,1.1,15.14,1.84,4.15,365.45,28,17.01,90.38,6.62,98.75,67.74,39.8,148.62,165.19,479.89
2.67,14.75,5.02,18.13,1539.45,2.94,668.86,804.9,3.08,1.91,0.96,4.68,2.14,87.53,264.4,141,191.55,90.24,237.47,364.18,179.34,0.57,2.28,18.33,3.04,3.11,438.41,31.11,4.6,34.77,5.84,100.22,63.77,37.24,155.96,171.98,470.83
1.61,37.76,13.11,25.05,2339.85,16.07,1131.08,1100.95,6.46,6.58,1.22,29.78,2.84,142.81,478.83,240.62,317.8,128.79,323.56,426.62,148.81,0.29,2.43,35.2,8.78,5.56,637.98,62.59,53.03,98.53,13.45,114.47,73.09,41.43,176.45,174.5,420.06
