Total_deaths,Asian,Black,Mixed,White,Other_ethnics,No_religion,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,No_answer,No_qualifications,Level1_entry_level_qualifications,Level2_qualifications,Apprenticeship,Level3_qualifications,Level4_qualifications_above,Remote_jobs,Underground_metro_light.rail_tram,Train,Bus_minibus_coach,Taxi,Motorcycle_scooter_moped,Driving,Passenger_in_a_car_van,Bicycle,On_foot,Other_methods,Children,Pre_Teens,Teenagers,Adults,Middle_Aged,Elderly
2.77,11.19,6.49,11.53,1210.64,3.75,558.77,598.83,2.32,2.05,0.6,3.9,1.94,69.98,248.16,119.25,155.95,69.96,182.36,223.19,106.65,0.26,2.09,13.4,3.02,2.99,377.23,33.48,3.87,42.05,5.22,107.05,67.28,37.31,184.86,180.76,422.74
2.3,923.3,174.11,102.92,3299.01,85.86,1181.22,2155.7,8.92,91.2,2.46,914.02,3.39,213.15,812.6,384.09,501.22,221.96,591.66,986.54,458.08,2.8,25.07,74.02,40.02,6.58,1050.44,105.81,16.38,142.93,21.22,131.41,83.73,48.5,183.97,193.34,359.05
2.23,22.36,7.24,15.72,1033.87,13.12,341.36,653.34,2.54,3.67,0.64,14.98,0.5,70.85,246.66,113.36,128.19,65.7,126.37,169.85,55.12,0.42,1.19,8.09,2.57,2.22,317.46,64.36,21.81,42.57,5.22,110.75,72.48,41.76,179.51,191.35,404.15
2.17,209.94,65.58,171.86,5662.7,89.98,2615.95,2904.05,31.33,44.01,24.8,102.95,4.14,427.16,826.02,512.84,733.34,312.75,987.98,1664.48,854.42,2.06,15.96,128.77,8.89,23.11,1380.13,106.87,92.71,238.45,30.75,100.17,62.97,45.98,192.23,190.81,407.84
1.26,137.56,46.37,59.54,1661.87,25.11,779.28,916.25,16.1,45.58,2.94,34.33,16.34,108.15,204.24,163.93,231.29,80.11,276.91,551.2,410.74,1.05,15.12,11.36,3.75,4.45,467.78,33.46,14.13,58.17,8.63,120.18,77.82,43.79,191.76,219.55,346.9
2.13,2721.49,170.08,232.48,5174.59,166.7,2390.58,2828.42,14.86,73.7,3.94,2584.88,74.89,461.93,1566.64,713.45,890.17,352.87,1026.77,1791.92,858.23,2.03,64.45,160.77,91.64,8.16,1699.18,195.69,23.63,282.43,39.78,138.45,90.01,54.8,193.43,197.11,326.19
2.59,39.75,29.27,46.69,2277.12,12.63,1083.4,1131.83,6.46,9.16,4.35,15.79,1.74,142.38,360.02,241.2,327,115.67,357.58,506.2,339.8,2.12,26.31,13.12,3.47,4.57,645.08,43.35,12.27,81.2,10.57,112.28,72.55,40.54,171.51,190.74,412.38
2.09,20.76,12.7,31.78,2114.07,12.53,923.7,1095.48,6.2,3.24,2.25,10.07,0.96,137.53,406.34,219.93,284.78,124.96,308.47,421.51,223.16,0.36,3.32,11.34,2.65,4.85,606.88,48.58,18.41,86.37,11.02,102.18,64.81,36.84,164.97,170.39,460.82
2.33,1727.66,921.73,267.23,1823.49,524.59,715.03,2043.69,48.29,819.19,57.68,1124.36,23.7,364.17,925.99,376.41,405.1,147.63,531.98,1704.15,758.94,374.92,128.08,332.15,13.73,27.9,540.95,49.89,63.12,170.42,34.18,117.13,73.19,48.92,246.45,224.13,290.18
2.91,60.62,27.07,36.69,1056.5,12.8,397.46,668.95,4.68,21.24,5.11,18.92,6.12,67.14,146.9,94.06,149.78,45.95,167.17,344.68,260.03,8.35,38.28,5.73,2.76,2.03,219.82,13.43,2.76,28.12,5.87,114.96,69.08,39.78,175.26,195.42,405.5
1.46,204.77,84.56,204.94,3665.1,133.69,2369.84,1326.61,38.03,32.53,38.03,131.69,5.86,306.13,452.62,256.32,388.35,124.75,718.22,1623.47,921.73,2.45,54.83,154.09,8.35,14.42,540.58,47.79,81.83,307.61,24.28,89.5,61.11,54.16,250.41,213.24,331.59
1.2,484.44,432.09,327.14,5935.86,140.21,3762.59,2356.83,41.98,54.92,19.02,492.29,34.81,502.32,877.76,454.71,647.42,236.76,1146.16,2542.43,1425.72,1.78,25.56,226.46,15.48,23.94,1222.6,113.55,193.13,414.12,32.84,111.56,63.61,53.21,287.42,203.36,280.85
2.35,28.37,10.6,28.54,1965.53,7.7,907.62,972.42,6.06,5.76,2.43,10.04,1.38,126.09,300.79,189.83,269.01,125.71,310.35,469.74,293.34,0.46,2.54,18.9,2.56,6.1,540.52,30.38,22.03,42.08,10.77,97,64.06,38.27,145.56,179.09,476.02
2.04,423.06,389.62,274.84,3908.7,116.19,1904.71,2470.32,32.53,149.41,14.97,168.5,16.55,329.03,566.73,356.79,546.24,163.59,610.72,1758.53,1169.86,48.74,235.7,125.01,9.19,14.97,701.88,44.18,27.64,108.9,25.62,121.57,75.11,40.47,167.97,222.84,372.04
2.49,48.94,11.87,37.4,1430.11,8.29,575.38,822.27,4.4,10.38,1.46,13.31,17.85,85.49,197.14,113.95,177.05,67.21,208.78,460.1,254.64,0.36,10.02,5.73,2.79,1.84,390.32,23.32,4.45,33.74,5.39,109.36,72.96,41.53,147.42,185.87,442.85
2.17,56.66,102.07,60.89,1244.07,70.2,506.82,813.24,7.42,17.82,5.65,65.83,2.42,89.9,256.51,144.84,181.68,69.84,205.59,336.02,220.27,15.14,40.4,15.45,4.86,3.63,365.41,24.99,8.03,41.61,8.58,122.36,75.31,43.55,184.66,204.42,369.7
2.35,95.31,28.92,43.67,1528.13,22.71,805.09,722.64,7.36,18.82,1.89,39.43,16.07,99.09,249.11,135.68,177.95,85.75,259.83,490.19,268.05,11.23,3.78,30.88,2.73,3.27,377.51,27.19,20.78,52.33,6.6,102.22,63.64,41.49,188.6,182.36,421.69
1.56,1058.42,221.06,303.19,6850.26,135.67,2931.26,4042.96,45.15,230.78,26.15,600.18,136.51,515.52,944.75,610.83,921.39,329.39,1081.55,2815.33,1737.97,29.7,62.65,59.34,25.33,13.82,1857.93,127.69,34.36,246.15,38.19,119.41,78.9,43.35,162.82,204.43,391.08
3.06,215.81,5.05,23.32,1210.16,12.05,462.02,706.59,3.52,2.7,0.51,205.35,0.82,79.31,284.24,129.64,161.36,76.22,195.36,283.5,104.39,0.25,2.99,25.27,17.71,1.74,347.31,39.78,6.24,68.69,5.83,126.1,79.38,44.72,190.93,187.41,371.47
2.68,319.04,57.17,79.37,2489.91,57.77,883.2,1466.67,7.87,13.54,166.3,298.12,8.91,148.59,444.73,233.46,351.05,133.31,396.41,775.19,411.78,33.51,3.87,44.37,17.91,3.66,680.84,55.39,14.38,91.51,13.62,121.99,79.08,45.16,178.26,195.62,379.89
1.54,336.59,22.29,62.39,2755.14,24.83,1344.56,1327.36,9.76,18.17,2.37,304.43,6,172.42,495.22,252.73,361.77,163.04,450.77,796.61,422.64,0.76,17.94,57.94,17.2,4.43,719.6,67.11,10.3,115.11,13.74,116.73,76.84,43.74,169.61,191.03,402.06
